Nation,Sail_number,Helms_Name,Crews_Name,Sailing_Club,R1,R2,R3,R4,R5,R6,Total,Nett,Rank
GBR,9215,Roger Gilbert,Ben McGrane,Netley SC,1,(2),2,1,2,1,9,7,1st
GBR,9093,Alex Barry,Harry Briddon,Ogston,2,1,1,(3),1,3,11,8,2nd
GBR,9155,Euan Hurter,Laurence Milton,Dalgety Bay SC,4,3,3,(7),4,6,27,20,3rd
GBR,9104,Adam Kenny,Ian Merryfield,Burton,3,4,(9 DNC),4,5,4,29,20,4th
GBR,9214,Andy Smith,Carl Gibson,Notts County SC,(9 DNC),9 DNC,9 DNC,2,3,2,34,25,5th
GBR,8708,Martin Goult,Jamie Whittle,FPSC,5,5,4,6,(7),7,34,27,6th
GBR,9125,Roger Deane,Christian Diebitsch,Rock,(9 DNC),9 DNC,9 DNC,5,6,5,43,34,7th
GBR,7832,Ian Dooley,Charlie Plows,Rutland Sailing Club,(9 RAF),6,5,8,8,8,44,35,8th
