Nat,Sail No,Helm,Crew,Club,R1,R2,R3,R4,Pts,Pos
GBR,8960,Ian Pinnell,Carl Gibbon,HISC,1,1,-2,2,4,1st
GBR,8881,Terry Scutcher,Christian Diebitsch,Shotley Sailing Club,(41 DNF),4,4,1,9,2nd
AUS,8920,Michael Quirk,Simon Reffold,WSC,(41 DNF),7,1,3,11,3rd
IRL,8961,Ewen Barry,Charles Dwyer,Mbsc,(41 DNF),2,6,4,12,4th
GBR,8963,Martin Hodgson,Adrian Miles, ,(41 DNF),3,3,10,16,5th
GBR,8694,Matt Hart,Craig Hurrell,Shotley Sailing Club,8,-13,5,6,19,6th
GBR,8908,Norman Byrd,Steve Hunt,Dwsc,4,11,-15,5,20,7th
GBR,8835,Charlie Walters,Dougal Cram,Datchet Water,2,10,-19,12,24,8th
GBR,8935,Russell Short,Andrew Short,Rotherham Sailing Club,3,8,-27,13,24,9th
GBR,8906,Harry Briddon,Simon Briddon,Carsington,6,9,12,(41 DNF),27,10th
GBR,8741,Toby Barsley-Dale,Gareth Russell,Weston SC,(41 DNF),6,13,11,30,11th
GBR,8701,Rob Napier,Graeme Willcox,Bowmoor SC,12,5,-16,16,33,12th
GBR,8836,Dave Wood,Neil Fulcher,Stone SC,5,-26,22,8,35,13th
IRL,8511,Brian Goggin,Brendan Dwyer,Monkstown Bay Sailing Club,7,19,-37,9,35,14th
GBR,8384,Charlie Stewart,John Gibson,Blackwater Sailing Club,(41 DNF),14,7,17,38,15th
GBR,8774,John Webster,Robert Burdekin,Carsington Sailing Club,11,17,14,-27,42,16th
IRL,8514,Peter Scannell,Paul O'Sullivan,Monkstown Bay Sailing Club,9,16,-25,18,43,17th
GBR,8526,Tim Bird,Richard Nurse,Burton SC,13,15,18,-19,46,18th
GBR,8955,Ben Iliffe,Simon Lake,Rya,(41 DNF),12,11,25,48,19th
GBR,8313,Richard Lord,Alex Cull,Seahorse S C (Number on Spinny 8331),(41 DNF),25,9,15,49,20th
IRL,8408,Alex Barry,Andrew Lane,Monkstown Bay Sailing Club,(41 DNF),23,21,7,51,21st
GBR,8905,Stuart Turnbull,Jason Lunn,Rya,(41 DNS),20,10,21,51,22nd
GBR,8909,Christopher Dando,Donald Sloan,Stone SC,(41 DNS),18,8,26,52,23rd
GBR,8460,Mike Pickles,John Driscoll,Southwold (Number on Spinny 8835),14,24,-36,23,61,24th
GBR,8556,Brett Townsend,Andy Denniss,Blackwater Sailing Club,(41 DNF),21,20,20,61,25th
GBR,8650,Terry Selfe,Alan Montague,Stone Sailing Club,(41 DNS),22,31,14,67,26th
GBR,8423,Martin Wright,,Burton Sailing Club,10,31,-35,30,71,27th
GBR,8780,John Hayhurst,Adrian Coates,Carsington S C,(41 DNF),32,17,28,77,28th
GBR,8419,Steve Perkins,James Brown,Blackwater Sailing Club,(41 DNF),27,33,22,82,29th
GBR,8907,Jim Berry,David Barnes,Portishead Y & SC,(41 DNF),29,23,31,83,30th
GBR,8945,Ross Kenney,Adam Kenny,Burton SC,(41 DNF),28,32,24,84,31st
GBR,8490,H Felden,, ,(41 DNF),36,26,29,91,32nd
GBR,8749,Alastair Milton,Laurence Milton,Helensburgh Sailing Club,(41 DNF),35,24,33,92,33rd
IRL,8552,Michael O'Brien,John O'Gorman,Monkstown Bay Sailing Club Cork,(41 DNF),33,29,32,94,34th
IRL,7852,Brian Jones,Gary Frost,Monkstownbay Sailing Club,(41 DNS),30,30,35,95,35th
GBR,8591,Dave Bell,Pete Ward, ,(41 DNS),37,28,36,101,36th
GBR,8497,Arthur George,Dennis Cartwright,Burton SC,(41 DNF),34,34,34,102,37th
GBR,8429,Alex Browne,, ,(41 DNS),41 DNF,41 DNF,37,119,38th
GBR,8323,Neil Smith,Tim Rains,Chasewater,(41 DNS),41 DNC,41 DNC,41 DNC,123,39th
GBR,8685,Richard Sims,Simon Wood,Carsington Water,(41 DNF),41 DNF,41 DNC,41 DNF,123,39th
