Nation,Boat,Helm,Crew,Club,Points,Place
GBR,9012,Ian Pinnell,Carl Gibbons,,8pts,1
GBR,9006,Terry Scutcher,Christian Diebitsch,,13pts,2
GBR,8961,Alex Barry,Charles Dwyer,,18pts,3
GBR,8935,Russell Short,Andrew Short,,20pts,4
GBR,8835,Charlie Walters,Dougal Cram,,26pts,5
GBR,8905,Stuart Turnbull,Jason Lunn,,31pts,6
,,,,,,7
,,,,,,8
,,,,,,9
,,,,,,10
,,,,,,11
,,,,,,12
,,,,,,13
,,,,,,14
,,,,,,15
,,,,,,16
,,,,,,17
,,,,,,18
,,,,,,19
,,,,,,20
,,,,,,21
,,,,,,22
,,,,,,23
,,,,,,24
,,,,,,25
,,,,,,26
,,,,,,27
,,,,,,28
,,,,,,29
,,,,,,30
,,,,,,31
,,,,,,32
,,,,,,33
,,,,,,34
,,,,,,35
,,,,,,36
