,,Club,,ligue,Race 1,Race 2,Race 3,Race 4,Pts CNI,place
FRA,,Philippe Boite,Fabrice Toupet,C V DE MEAUX,1,1,1,1,3,1
FRA,,Lafortune Claude,Frederic Pathier,C V SEINE-PORT,4,5,2,3,9,2
FRA,,Muh Pierre,Keraudrenv Dominique,C.N. VIRY CHATILLON,3,10,3,4,10,3
FRA,,Silvestre Christian,Vallaud Christian,CVSQ,2,2,8,7,11,4
FRA,,Pierre-Jean Gallo,Viateur Regis,CVSQ,5,4,5,6,14,5
FRA,,Martin Nicolas,Lafortune Julien,C V SEINE-PORT,13,3,10,2,15,6
FRA,,Gubri Serge,Thibault Di Pede,Jeunesse et Marine,9,6,6,5,17,7
FRA,,Martin Aline,Lafortune Jordane,C V SEINE-PORT,10,13,4,9,23,8
FRA,,Martenot Christian,Sabatier Alexandre,C V SEINE-PORT,12,8,7,8,23,9
FRA,,Philippe Lucienne,Lucienne Vivien,S.R.C Sud-Oise,6,7,12,DNS,25,10
FRA,,Jean-Baptiste Dupont,Lecorgne Pierre,CV PARIS,7,9,9,DNS,25,11
FRA,,Lafortune Antoine,Lafortune Geraud,C V SEINE-PORT,8,12,11,DNS,31,12
FRA,,Boiry Michel,Lafortune Batiste,CV DE PARIS,11,11,13,DNS,35,13
FRA,,Condroyer Xavier,Matthieu Champenois,CV PARIS,14,DNF,14,DNS,43,14
