Country,"Boat Number",Helm,Crew,Club,"Race 1","Race 2","Race 3","Race 4","Race 5",Brutto,Netto,Place
FRA,8541,"Francis Doerenbecher","Aubin Doerenbecher",CNS,1,1,4,1,1,8,,1
FRA,8484,"Philippe Blanchard","Carole Blattner",ACAL,2,2,1,2,2,9,,2
FRA,8676,"Marcel Buffet","Antoine Victor",CVP,5,3,2,3,4,17,,3
GER,8327,"Dirk Frank","Stefan Kempf",SCS,3,5,5,4,3,20,,4
GER,8530,"Alexander von Mertens","Pia Wiesbauer",StSC,4,4,3,5,"DNF 12",28,,5
FRA,8301,"Benoit Blaison","Vincent Marquis",,9,6,6,7,5,33,,6
FRA,8820,"Robert Lehmann","Bernard Edel",ACAL,6,7,8,6,7,34,,7
FRA,4479,"Ruddy Richard","Canel Hodzig",AOGS,7,9,10,9,8,43,,8
FRA,7941,"Jean-Pierre Peter","Veronique Dousselin",ACAL,8,10,7,10,"DNF 12",47,,9
GER,4959,"Elmar Neugart","Jürgen Girhe",SZHB,10,8,11,8,"DNC 12",49,,10
GER,8669,"Claus-Michael Lehr","Christine Schaal-Lehr",SCNS,11,"DNC 12",9,11,"DNF 12",55,,11
