Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Brutto,Netto,Place
GER,8772,Ronald Roos,Kirsten Roos,SVWu,1,1,5,7,7,1
FRA,8484,Philippe Blanchard,Carole Blattner,ACAL,4,2,1,7,7,2
FRA,7941,Veronique Brenet,Jean-Pierre Peter,ACAL,2,6,2,10,10,3
GER,8625,Alex Cross,Falko Braun,SCR,3,3,3,9,9,4
GER,8473,Oliver Kraft,Alexander Göggel,SSCM,6,4,4,14,14,5
FRA,8541,Francis Doerenbecher,Aubin Doerenbecher,CNS,7,5,6,18,18,6
GER,8327,Dirk Frank,Stefan Kempf,SCS,5,7,8,20,20,7
FRA,4479,Jean-Marc Paquotte,Alain Beltzung,,9,9,7,25,25,8
FRA,8676,Marcel Buffet,Charles Maire,CVP,13,8,11,32,32,9
FRA,8688,Bernard Blondy,Roger Chabaud,CVA,8,13,12,33,33,10
FRA,8820,Robert Lehmann,Bernard Edel,ACAL,10,10,10,30,30,11
FRA,8449,Bernard Pfeiffert,Didier Pfeiffert,,12,14,9,35,35,12
GER,8530,Alexander von Mertens,Pia Wiesbauer,StSC,11,12,14,37,37,13
FRA,8742,Philippe Noclain,Jean-Pierre Noclain,CVA,14,11,13,38,38,14
GER,8418,Olivier Koch,Markus Klos,SCBO,15,15,15,45,45,15
GER,7778,Anne Nehrenberg,Hans Jürgen Nehrenberg,SCBo,16,16,16,48,48,16
