SAIL,NUMBER,Helm,Crew,CLUB/ORG,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,BOAT NAME,TOTAL,NET,
AUS,9059,Christopher Paterson,Thor Schoenhoff,Fremantle Sailing Club,[6],1,1,2,2,2,1,6,[9],FrankenJess,30,15,1
AUS,9134,Michael Quirk,Felix Brockerhoff,BSC,1,2,2,1,7,1,[13],[15],10,Strange and Unusual,52,24,2
AUS,9191,Malcolm Higgins,Jack Higgins,BSYC,2,5,[12],4,1,[9],9,2,1,Whiskey Tango Foxtrot,45,24,3
AUS,8759,Tom Stivano,Simon Burt,Lake Macquarie Yacht Club,4,3,6,10,[11],3,[11],1,11,SLIPPERY,60,38,4
AUS,9061,Kevin Cameron,Sam Heritage,Darling Point SS,9,4,8,[12],8,4,4,[21],2,Alarm Innovations,72,39,5
AUS,9167,Nigel Lott,Bob Franks,DPSS,[19],9,[10],5,3,6,7,4,6,Soaked,69,40,6
AUS,8809,Justin Carey,Chris Carey,DPSS,5,13,7,11,[19],5,3,[25],4,SCarey 5Oh!,92,48,7
AUS,9192,Mark Stowell,Conall Hansford,FSC,[16],11,11,3,[14],11,5,9,5,Prawnbroker,85,55,8
AUS,8781,Chris Gregg,Ian Gregg,DPSS,15,[DNF - 38],3,9,13,[DNF - 38],6,5,7,Two Thirds,134,58,9
AUS,8794,Michael Babbage,Josh Mortenson,Newcastle Cruising Yacht Club,[17],7,13,[15],12,8,2,3,14,Alvin Rides Again,91,59,10
AUS,9209,Alexandra Alder,Marcus Cooper,Henley Sailing Club,11,[17],9,8,9,14,8,[27],3,Cherylander,106,62,11
AUS,9136,Cullen Hughes,Paul Rees,Balmoral Sailing Club,7,6,5,[16],10,13,[30],12,16,Why Not,115,69,12
AUS,8920,Jeffrey Robinson,Adam Wyatt,Ncyc,14,16,4,[22],4,7,16,13,[21],ASAP,117,74,13
AUS,8894,Robert Fleming,Chris White,Fremantle Sailing Club,12,8,16,6,16,[17],10,[19],8,Black Boat,112,76,14
AUS,9115,Steve Howden,Ian Taylor,PMYC,10,10,14,7,[DNF - 38],[TLE - 33],17,14,12,Dance Don't Walk,155,84,15
AUS,8855,Nicholas Mariani,Alex Thomson,Fremantle Sailing Club ,8,[19],15,14,5,16,18,11,[19],Epileptic Octopus,125,87,16
AUS,8817,Michael Duffield,Anthony Gaunt,Fremantle Sailing Club,[22],12,20,[29],15,10,12,10,18,Tensing Norgay,148,97,17
AUS,9213,Ian Burford,David Christie,BSYC,13,[26],18,13,17,[20],15,7,17,Whisper,146,100,18
AUS,8957,Peter Woolman,Ben Spyker,BSYC,20,23,[DNC - 38],19,6,15,[29],20,13,More Noodles,183,116,19
AUS,9226,Matt Hansen,Shane Attwell,FSC,[28],15,19,21,21,12,14,[28],25,The Wolf,183,127,20
AUS,8893,Ryan Menzies,Lucas Geddes,WASC,27,14,22,20,18,18,[DNF - 38],16,[29],Yeah Buddy,202,135,21
AUS,8185,Matt Bowden,Ashlie Duffield,DPSS,18,24,[27],[27],22,25,26,8,15,Beauty and the Beast,192,138,22
AUS,9071,Richard Hyde,Lindsay Gilbert,DPSS,21,[29],23,17,[DNF - 38],21,19,29,24,Sweaty Betty,221,154,23
AUS,8840,Michael Gallagher,Matt Brooman,Cruising Yacht Club of Australia ,[30],25,17,25,23,19,22,[30],26,Manalive,217,157,24
AUS,8785,James Ryssenbeek,Andrew Mccole,Paynesville yc,26,18,26,18,20,[27],23,[31],27,Card sharks,216,158,25
AUS,8886,Anna Hauschild,David Clayton,Adelaide SC,[31],22,21,28,25,22,[DNF - 38],24,20,Thunderstruck,231,162,26
AUS,9074,Earle Alexander,Rilke De Vos,Darling Point SS,25,[28],24,23,26,26,20,22,[30],Earle Grey,224,166,27
AUS,9017,Roger Pell,Byron Mavrick,FSC,3,27,[32],[32],28,24,24,32,32,String Theory,234,170,28
AUS,8589,Brooke Jones,Brian Jones,HSC,24,[30],25,26,24,23,21,[33],28,Ross Island,234,171,29
AUS,9047,Derek Milligan,Rob Tikoft,Canberra Yacht Club,[29],20,28,24,[29],28,28,23,23,Capital Brewing,232,174,30
AUS,7479,Charles Baker,Benjamin Quick,SYC,[33],31,30,[33],30,30,25,26,22,Mickey Ocky Blue,260,194,31
AUS,9223,Marcus Ottaway,David Ottaway,Henley Sailing Club,23,[DNF - 38],[DNC - 38],30,27,DNF - 38,27,17,DNF - 38,Binary Blackhole,276,200,32
AUS,8638,Connor Eaton,Chris Eaton,Oxley Sailing Club ,[35],21,29,31,34,29,31,[TLE - 35],31,2 by 42,276,206,33
AUS,8877,Anthony Freer,Richard Freer,Darling Point SS,32,33,33,[35],33,32,[DNF - 38],18,34,Slash,288,215,34
AUS,8628,Peter Croft,Peter Keir,Sandgate Yacht Club,34,32,31,36,31,31,[DNF - 38],[DSQ - 38],33,Grumpy Old Men,304,228,35
AUS,9048,Alan Turner,Neil Finlayson,DPSS,36,[DNC - 38],[DNC - 38],34,32,DNF - 38,DNS - 38,DNS - 38,DNS - 38,Shore-thing,330,254,36
AUS,8710,John Cook,Harrison Cook,LDSC,[DNC - 38],[DNC - 38],DNC - 38,DNC - 38,DNC - 38,DNC - 38,DNC - 38,TLE - 35,DNF - 38,Cookaburra Pharmacy,339,263,37
