Number,Skipper,Crew,Name,R1,R2,R3,R4,R5,Total,Net (1 drop),Place
8781,Chris Gregg,Ian Gregg,Two Thirds,2,1,1,1,1,6,4,1
9074,Earle Alexander,Chris Carey,Earle Grey,1,2,5 (DNF),2,2,12,7,2
8638,Connor Eaton,Chris Eaton,#42,3,3,2,4,4,16,12,3
8682,Richard Hyde,Mathew Hyde,Go to Red,4,4,3,3,3,17,13,4
