Country,Sail#,Helm,Crew,Club,Race 1 9 Dec 2023,Race 2 9 Dec 2023,Race 3 9 Dec 2023,Race 4 10 Dec 2023,Race 5 10 Dec 2023,Name,Score,Place
AUS,9061,Kevin Cameron,Sam Heritage,,1,3,1,[5],2,Four Walls Security,7,1
AUS,8781,Chris Gregg,Ian Gregg,,4,[9 OCS],3,1,1,Primates,9,2
AUS,8809,Justin Carey,Chris Carey,,2,1,[4],3,3,SCarey 5oH!,9,2
AUS,8957,Matt Bowden,Josh Mortensen,,3,2,2,2,[4],More Noodles,9,2
AUS,9074,Earle Alexander,Hermann Wollenbecker,,5,4,5,4,[6],Earle Grey,18,5
AUS,8638,Jemima Carey,Brett Buckley,,[8],5,8,8,5,Uncle Earle,26,6
AUS,7479,Peter Croft,Lindsay Gilbert,,6,6,[7],7,7,Sweaty Betty,26,6
AUS,9071,Richard Hyde,Matthew Hude,,7,7,6,6,[8],Go To Red,26,6
