Nation,Sail No,Helm,Crew,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Nett,Place
USA,8883,Tyler Moore,Nelson,,1,1,2,4,3,7*,3,5*,2,16,1st
,8822,Holt,Smit,,2,2,1,1,1,10*,8,10*,3,18,2nd
,8629,Martin,Falsone,,3,4*,3,2,4,3,7*,2,1,18,3rd
,8627,Collins,Smith,,5*,5*,5,3,2,1,5,1,4,21,4th
,8830,Hagan,Andrew Buttner,,8*,11*,4,7,6,2,1,7,5,32,5th
,8264,Boyd,tenHove,,6,9,14*,6,13*,6,2,9,11,49,6th
,8722,Macy Nelson,Hyrniewicz,,4,3,10,39 DNF*,10*,9,10,8,6,50,7th
,8698,Fowler,Fowler,,13*,7,9,5,8,17*,9,3,9,50,8th
,7771,Taugher,Trip,,11,6,6,14*,7,4,14*,4,14,52,9th
,8012,Amthor,Amthor,,7,12*,11,9,9,5,4,14*,8,53,10th
,8660,Moon,Nelson,,12,17,39 DSQ*,10,5,16*,6,6,7,62,11th
,8814,Lin Robson,Boothe,,10,10,8,8,27*,25*,24,13,10,83,12th
,8835,Weofel,Brown,,9,8,7,11,21*,21,18,20,39 DNC*,94,13th
,8829,Behm,Yates,,15,18*,24*,16,16,11,12,15,16,101,14th
,8194,Kivney,Russell,,19,14,13,12,15,13,23*,23*,17,103,15th
,6985,Breton,MacDonnell,,18,15,12,20*,17,14,20*,16,19,111,16th
,8018,Steele,Soloman Marini,,16,13,26*,17,14,24,26*,19,12,115,17th
,8696,Ashby,Adams,,14,20,15,23*,22,23*,21,11,20,123,18th
,8790,John Wyles,Beardsley,,20,23*,18,39 DNC*,19,18,13,21,15,124,19th
,8821,Katherine Long,Stephen Long,,17,16,16,21,11,19,28*,26*,25,125,20th
,7610,Desbrisay,Hansen,,24,31*,19,15,28*,12,11,22,23,126,21st
,7605,Renka Gesing,Adam Gesing,,21,19,39 DNC*,18,12,22*,19,17,21,127,22nd
,8410,Bush,Gillies,,22,24*,20,19,24,28*,22,18,18,143,23rd
,8013,Hamilton,Schell,,30,26,39 DNS*,39 DNC*,20,27,16,12,13,144,24th
,8015,de la Rie,Schumpert,,27,27,39 DNF*,39 DNC*,18,8,17,25,24,146,25th
,7068,Patterson,Gay,,31*,21,17,13,26,30*,30,24,22,153,26th
,8311,Bradly,Morris,,26,25,27,24,31*,15,15,30*,30,162,27th
CAN,8755,Trannor,Jennings,,23,22,21,22,25,29*,33*,29,29,171,28th
,8735,Brent Beninger,Yanic,,29*,29*,25,25,23,20,25,27,28,173,29th
,8442,Davidge,Stephen Adolph,,28*,28,23,26,29*,26,27,28,27,185,30th
,8351,Watson,Watson,,25,30,22,27,30,31,34*,32*,26,191,31st
,8587,Ware,Powick,,39 DNF*,32,39 DNF*,39 DNF,39 DNC,32,29,33,33,235,32nd
,7857,Weldon,Wonnacott,,32,39 DNC*,39 DNC*,39 DNF,39 DNC,33,32,31,31,235,33rd
,8776,Maldari,Maldari,,39 DNF*,33,39 DNS*,28,39 DNC,36,35,34,32,236,34th
,5990,Janidlo,Doyle,,39 DNF*,39 DNF*,39 DNC,29,39 DNC,34,37,37,34,247,35th
,7798,Wilson,Kietly,,39 DNC*,39 DNC*,39 DNC,39 DNC,39 DNC,35,31,36,39 DNF,254,36th
,7061,Cashman,Gerbolini,,39 DNF*,39 DNF*,39 DNC,39 DNC,39 DNC,37,36,35,39 DNC,260,37th
