Nat,SailNo,HelmName,CrewName,Club,R1,R2,R3,R4,R5,R6,Total,Nett,Rank
FIN,8768,Jukka Nieminen,Antti Salonen,Giiamari SP,1,1,-3,2,2,2,11,8,1st
FIN,9069,Jari Hamström,Tuomas Laurila,Au pair KuoPS,3,-4,1,3,1,1,13,9,2nd
FIN,8927,Kaj Lindfors,Johan Halonen,ASS,2,2,2,-4,3,4,17,13,3rd
FIN,8678,Ilmari Kuusi,Tatu Miettinen,LPS,4,3,-5,1,5,3,21,16,4th
FIN,8053,Petri Ebeling,Juhani Heimsch,HSK,5,5,4,-7,6,5,32,25,5th
FIN,8127,Raimo Raita,Juha Nurmela,Vene 71,(12 OCS),6,6,6,4,12 DNF,46,34,6th
FIN,8466,Hannu Pöyry,,Pinkkiviiva VVK,-10,8,8,5,7,7,45,35,7th
FIN,7922,Olle Martonen,Mikael Nylund,StigHelmer WSF,6,9,9,-11,8,8,51,40,8th
FIN,8352,Kari Lehtonen,Timo Vennonen,Lissu HSK,7,(12 OCS),12 DNF,8,9,6,54,42,9th
FIN,7824,Erkka Ikonen,Jukka Suonpää,TaPs,8,7,7,9,(12 DNS),12 DNS,55,43,10th
FIN,8632,Rosemarie Hartman,Vertti Niemi,Jekku M,9,-10,10,10,10,9,58,48,11th
