Båt,Besättning,,,Klubb,1,2,3,4,5,Tot.,Plac.
SWE,8655,Krister Bergström,Thomas Moss,GKSS,1,-2,1,2,1,5,1
DEN,8620,Jan Saugmann,Morten Ramsbaek,XXX,2,1,-7,1,2,6,2
DEN,8656,Jorgen Schönherr,Anders Kempe,XXX,3,3,-4,4,3,13,3
GER,8550,Dietrich Scheder-Bieschin,Johan Arvedsson,ÅKC,(DNS),4,2,6,6,18,4
DEN,8675,Rasmus Fredsted,Thomas Hartvig Larser,RDY,7,-8,5,3,5,20,5
SWE,7343,Kalle Nilsson,Johan Barne,GKSS,4,6,6,5,(DNF),21,6
SWE,8232,Ebbe Rosén,Olle Wenrup,MKS,6,7,3,7,(DNF),23,7
SWE,8619,Mikael Ahrbom,Claes Thurell,KSSS,5,5,(DNS),9,4,23,8
SWE,8427,Jakob Lindvall,Kalle Byrenius,XXX,8,9,DNS,10,(DNF),39,9
SWE,8585,Jan Eriksson,Torbjörn Linderson,NSS,9,DNF,DNS,8,(DNF),41,10
SWE,6718,Jan Thews,Kalle Thews,XXX,10,(DNF),DNS,DNS,DNS,46,11
