Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Points Total,Points Netto,Place
USA,8913,Howard Hamlin,Andrew Zinn,,1,1,1,1,7,1,,12,1
USA,8714,Mike Martin,Jeffrey Nelson,,4,2,3,2,3,2,,16,2
USA,8854,Bruce Mahoney,Paul Allen,,2,3,4,3,6,10,,28,3
USA,8680,Bruce Edwards,David Shelton,,5,4,2,6,4,9,,30,4
USA,9002,Mike Holt,Shane,,3,7,5,4,8,3,,30,5
USA,887*,Ted,Brian,,6,5,6,10,2,13,,42,6
USA,8937,Kevin Taugher,Ben Benjamin,,8,6,8,8,9,6,,45,7
USA,7156,Aaron Ross,Rob Waterman,,14,12,10,7,10,5,,58,8
USA,8965,Hasso Plattner/Morgan,Peter Alarie,,10,8,18,18,1,7,,62,9
USA,7875,Jeff Miller,Mike Smith,,9,11,9,18,5,11,,63,10
USA,8731,Thad Lieb,Pat Diola,,13,10,11,11,12,8,,65,11
USA,8081,Nick Adamson,Dave,,7,9,7,9,18,18,,70,12
USA,8842,Andrew,Guy Rittger,,17,18,14,18,13,4,,84,13
USA,8813,Sarah,Mathias Kennerknecht,,11,15,15,18,14,12,,85,14
USA,8888,Philippe Kahn,Peter Spaulding,,16,16,12,12,15,14,,85,15
USA,8841,Mark,,,12,14,13,18,18,18,,93,16
USA,8821,Katherine Long,Stephen Long,,15,13,18,13,18,18,,95,17
USA,8889,Bob/Richard,Rich,,18,17,16,18,11,15,,95,18
