Country,Sail,Helm,Crew,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Points,Position
USA,9002,Mike Holt,Carl Smit,,2,3,2,1,3,3,14,1
USA,8714,Mike Martin,Jeffrey Nelson,,7,1,1,6,1,2,18,2
USA,8081,Nick Adamson,Stephen Bourdow,,3,8,3,3,6,4,27,3
USA,887*,Ted,Brian,,1,2,7,8,8,8,34,4
USA,8681,Ryan Cox,Stuart Park,,8,5,4,7,4,6,34,5
USA,7875,Jeff Miller,Stuart Park,,9,6,6,2,5,7,35,6
USA,9007,Tyler Moore,Geoff Ewenson,,4,7,11,9,2,9,42,7
USA,8965,Hasso Plattner,Peter Alarie,,10,12,9,5,10,1,47,8
USA,8987,David Chatham,Jon Bell,,11,11,5,4,9,12,52,9
USA,8731,Thad Lieb,Pat Diola,,5,4,12,16,7,17,61,10
USA,9009,Bruce Edwards,David Shelton,,15,10,8,13,12,5,63,11
USA,8831,Pierre Jeangirard,Paul von Grey,,12,12,13,10,11,10,68,12
USA,8824,Jennifer Morgan Glass,Benjamin Glass,,6,9,10,12,13,19,69,13
USA,7156,Aaron Ross,Rob Waterman,,13,13,14,11,15,11,77,14
USA,8821,Katherine Long,Stephen Long,,14,14,15,14,14,13,84,15
USA,8813,Steve Kleha,Mathias Kennerknecht,,16,15,16,17,16,14,94,16
USA,8904,Hubert Guy,Mike,,19,16,20,15,17,15,102,17
USA,8889,Antoine Laussu,Alexandre Laussu,,18,17,17,18,19,18,107,18
USA,7877,Kirk Twardowski,Steve Anderes,,20,20,20,19,18,16,113,19
USA,8842,Tom Kassberg,Guy Rittger,,17,18,20,20,20,20,115,20
USA,8084,Ian,Brian,,20,19,20,20,20,20,119,21
