,Sail,Skipper Crew,,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Total,
USA,8831,Mats Elf,,,4,2,2,2,2,1,5*,13,1
CAN,7610,Cynthia Brisay,Charles Hansen,Kitsilano YC,1,4*,3,1,3,4,2,14,2
CAN,8192,Phillip Crass,,,5,3,4,3,1,2,6*,18,3
USA,8960,Bruce Van Deventer,Scott Weiler,CYC Seattle,3,1,5*,5,4,3,4,20,4
USA,8868,Piper Dunlap,Dan Ginther,Pt. Townsend Sailing Club,2,5,1,4,5,5,14*OCS,22,5
USA,6808,Spencer Snapp,Sugar Flanagan,,6,11*,9,6,6,8,8,43,6
CAN,8755,Brian Trainor,Evan Jennings,Kitsilano YC,12 DNC,6,6,14*DNS,14 DNS,6,1,45,7
USA,8617,Paul Pihl,Craig Cammock,FCBC,8,8,12,14*OCS,8,7,3,46,8
,7039,Rick Parkinson,,,7,10*,7,9,7,9,9,48,9
USA,8554,Christian Pittack,Anne Fitzpatrick,CYC Seattle,10*,7,8,7,9,10,10,51,10
,868,Erik Coburn,,Pt. Townsend Saling Assoc.,9,9,10,8,10,11*,11,57,11
USA,8245,Charlies Dore,Gorge Columbia,,11,12,11,10,11,14*DNS,7,62,12
,6380,Sam Swan,Bill Swan,,12 DNC,13 DNC,13,11,12,14*DNS,12,73,13
