Pos,Sail,Skipper,,,race 1,race 2,race 3,Total Points,Pos
USA,7200,Ali/Erika Meller/Seamon,,,1,1,1,3.00,1
USA,8722,Bryan Richardson,,,2,2,2,6.00,2
USA,7359,Catherine Guiader,,,4,3,3,10.00,3
USA,8438,Amie Boothe,,,3,6/DNF,6/DNC,15.00,4
USA,7776,Chris Gildea,,,6/DNC,6/DNC,6/DNC,18.00,5
