Pos,Sail,Skipper,,,Race 1,Race 2,Race 3,Total Points,Pos
USA,7199,Stergios Papadakis,,,2,1,1,4.00,1
USA,8438,Amie Boothe,,,1,2,4/DNC,7.00,2
USA,8722,Bryan Richardson,,,3,3,4/DNC,10.00,3
