Pos,Sail,Skipper,,,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Total Points,Pos
USA,8438,Ted Huebner,,,7/DNF,7/DNF,7/DNF,1,1,1,24.00,1
USA,7606,Brendan Connell,,,1,1,3,7/DNC,7/DNC,7/DNC,26.00,2
USA,,Ramsey Key,,,2,2,1,7/DNC,7/DNC,7/DNC,26.00,3
USA,814*,Stergios Papadakis,,,7/DNF,7/DNF,7/DNF,2,2,2,27.00,4
USA,8438,Amie Boothe,,,3,3,2,7/DNC,7/DNC,7/DNC,29.00,5
USA,8722,Bryan Richardson,,,7/DNF,7/DNF,7/DNF,3,3,3,30.00,6
