Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Boat Name,Points Total,Points Netto,Place
USA,8714,Mike Martin,Jeff Nelson,,[1],1,1,1,1,1,Black boat,5,1,
USA,9002,Mike Holt,Carl,,2,2,[27/DNF],2,2,2,New Blue,10,2,
USA,,Howie Hamlin,Rob Woelfel,,4,[6],3,3,3,6,Blue,19,3,
USA,8808,Nick Adamson,Steve Bourdow,,[9],5,2,6,4,3,,20,4,
USA,8815,Dalton Bergan,Fritz Lanzinger,,3,3,5,[9],5,5,,21,5,
USA,8681,Stuart Park,,,[11],9,6,5,7,7,,34,6,
USA,9009,Bruce Edwards,Dave Shelton,,8,10,[27/DNF],7,6,11,Dangerous Obsession,42,7,
USA,8715,Ethan Bixby,Simon Gorman,,6,7,12,[13],12,8,Pressure Drop aka OFB,45,8,
USA,8913,Tyler Moore,,,5,8,[27/DNF],4,27/DNF,4,Moore Trouble,48,9,
USA,8987,Jon Bell,,,10,[16],7,12,11,9,Dirty Bird,49,10,
USA,8813,Matthias Kennerknecht,,,[27/DNS],12,11,8,10,10,The Regurgetator,51,11,
USA,7875,Jeff Miller,,,[27/DNS],11,10,10,8,14,Smoke on the Water,53,12,
USA,8084,Aaron Ross,,,14,14,9,11,[15],12,Money Shot,60,13,
USA,8953,Augie Diaz,,,13,15,13,[16],13,15,Jesse's Girl,69,14,
USA,8554,Conrads ,,,[27/DNC],27/DNC,8,14,9,13,Edwards,71,15,
USA,8762,Kevin Taugher,,,12,4,4,[27/DNC],27/DNC,27/DNC,Arabian Stallion,74,16,
USA,8821,Pierre Jeangirard,,,15,13,[27/DNF],15,14,27/DNS,ADD NEW,84,17,
USA,6983,Zhenya Kirueshkin-Stepanoff,,,[27/DNS],27/DNS,27/DNF,21,17,16,Benign Variant,108,18,
USA,8904,Hubert Guy,,,7,[27/DNF],27/DNF,27/DNC,27/DNC,27/DNC,Enigma,115,19,
USA,8842,Tom Kassberg,,,[27/DNF],27/DNS,27/DNS,19,16,27/DNS,Flygfisk,116,20,
USA,7201,John Billings,,,17,[27/DNF],27/DNF,18,27/DNS,27/DNS,FTP,116,21,
USA,7062,Peter Scott,,,16,[27/DNF],27/DNF,27/DNC,27/DNC,27/DNC,Hot Sweetness,124,22,
USA,8786,Stephen Gay,,,[27/DNF],27/DNS,27/DNS,17,27/DNF,27/DNS,Shampoo Effect,125,23,
USA,6992,Taylor Robinson,,,[27/DNC],27/DNF,27/DNF,20,27/DNF,27/DNS,Loco Rooster,128,24,
USA,8851,Keith Davids,,,[27/DNS],27/DNF,27/DNS,27/DNC,27/DNC,27/DNC,,135T,25T,
USA,8889,Robert Tennant,,,[27/DNF],27/DNF,27/DNF,27/DNC,27/DNC,27/DNC,,135T,25T,
