Nation,SailNo,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Race 9,Total,Nett,Rank
FIN,9069,Jari Hamström,Tuomas Laurila,KuoPs,(4),3,2,1,,2,3,3,1,19,15,1st
FIN,8927,Kaj Lindfors,Johan Halonen,ASS,3,(8),4,2,,1,2,4,2,26,18,2nd
FIN,9193,Jukka Nieminen,Antti Salonen,SP,1,1,5,3,,(12),4,2,3,31,19,3rd
SWE,8926,Ebbe Rosén,Lars Wester,MKS,2,4,3,4,,(7),1,1,5,27,20,4th
FIN,8678,Tatu Miettinen,Ville Tarvo,LPS,6,2,1,5,,4,6,(14 OCS),4,42,28,5th
DEN,9055,Fabiola Wonterghem,Michael Wonterghem,SSF,5,7,(9),6,,8,5,5,6,51,42,6th
FIN,7784,Thomas Held,Juha Nurmela,BSS,8,6,7,9,,6,10,6,(11),63,52,7th
FIN,8352,Kari Lehtonen,Timo Vennonen,HSK,10,5,10,(14 OCS),,5,7,9,8,68,54,8th
FIN,8907,Hanno Narjus,Mikael Maksimow,TPS,7,(11),6,7,,9,8,11,7,66,55,9th
FIN,8466,Hannu Pöyry,Ari Dillemuth,VVK,(14 DNC),14 DNC,14 DNC,8,,3,11,8,10,82,68,10th
FIN,8053,Petri Ebeling,Heimsch Juhani,HSK,9,9,8,(14 DNF),,13,13,7,12,85,71,11th
FIN,7922,Olle Martonen,Nylund Mikael,WSF,(14 DNC),14 DNC,14 DNC,10,,10,9,10,13,94,80,12th
SWE,8586,Galen Mack,Joonatan Hollmén,KSSS,(14 DNF),10,11,14 OCS,,11,12,14 OCS,9,95,81,13th
