Boot,,Steuermann,Vorschoter,Club,Platzierungen 1,Platzierungen 2,Platzierungen 3,Punkte,Pl.
GBR,9006,Terry Scutcher,Christian Diebitsch,Shotley,2,1,1,4,1
GER,8849,Moritz Bohnenberger,Philipp Frisch,DTYC,1,2,2,5,2
GER,8975,Alexander Holzapfel,Stefan Worm,PSVK,3,5,5,13,3
ITA,8916,Enrico Ciferri,Gabriele Natatli,,8,3,3,14,4
FIN,8632,Jari Hamstroem,Tuomas Laurila,EMK,4,6,7,17,5
FIN,8466,Sampsa Hyysalo,Antti Salonen,HSK,5,8,6,19,6
FIN,8768,Jukka Nieminen,Kari Lehtonen,,6,10,9,25,7
GER,8947,Volker Niedik,Stefan Heising,BSV,DNC,4,4,8,8
FIN,8873,Ari Peltoniemi,Tapani Elovirta,,7,9,13,29,9
GBR,8955,Luke White,Simon Lake,,DNC,7,11,18,10
GER,8032,Nicola Birkner,Angela Stenger,SVaW,DNF,11,8,19,11
ITA,8743,Marco Giraldi,Giuseppe Viaroni,UVM,9,15,15,39,12
GER,8519,Robert Wisolek,C. Pirker,SCLW,DNC,13,10,23,13
FIN,8320,Ville Tarvo,Tatu Miettinen,,10,14,DNC,42,14
ITA,8882,Roberto Loce,Antonio Binacchi,,DNC,12,14,44,15
GBR,8907,Jim Berry,David Barnes,CVSC,DNC,DNC,12,48,16
GER,8598,Anna Höll,Bernd Heinisch,,DNC,16,DNC,52,17
