Nation,,Driving Assistant,Crew,,R1,R2,R3,R4,R5,R6,R7,R8,Score,Place
USA,8266,Howard Hamlin,Mike Martin,,1,1,1,1,4,3,2,1,"8,75",1
USA,7875,Jeff Miller,Bruce Heckman,,2,2,2,3,3,2,3,2,16,2
USA,7349,Jim Wondolleck,Jay Kuncl,,4,3,3,2,1,4,4,3,"19,75",3
USA,8017,Tom Poore,Stewart Park,,5,4,4,5,2,1,1,DNF,22,4
USA,,Danny Thompson,Ulli Coblenz,,3,5,DNF,4,5,5,6,5,33,5
USA,7359,Gary Ruggles,Greg Gump,,DNS,6,8,7,6,DNF,5,4,46,6
USA,7611,Craig Perez,Erich Chase,,8,7,5,6,7,9,9,6,48,7
USA,,Paul Tara,Todd Koch,,7,8,6,8,8,6,8,7,50,8
USA,,Terry Neff,Bobby Noyes,,6,9,7,DNF,9,7,7,8,53,9
CAN,8439,John Dohan,Bill Beardslee,,DNF,10,9,9,10,8,10,9,65,10
