NATION,Boat NO,Helm,Crew,,Race 1,Race 2,Race 3,Race 4,Points,Place
USA,,Terry Neff,Ethan Bixby,,,,,,,1
USA,8012,Henry Amthor,Doug Amthor,,,,,,,2
USA,7346,Jim Englert,Thad Melton,,,,,,,3
USA,8191,Macy Nelson,Collin,,,,,,,4
USA,8263,Allan Johnson,Jesse Falsone,,,,,,,5
,,,,,,,,,,6
,,,,,,,,,,7
,,,,,,,,,,8
,,,,,,,,,,9
,,,,,,,,,,10
,,,,,,,,,,11
,,,,,,,,,,12
