Sail,Real Number,Driver,Crew,Club,Race 1,Race 2,Race 3,Race 4,Total,Place
USA,8263,"Johnson,Meller,Marini","Marini,Meller",,1,1,2,2,"5,5",1
USA,7199,Stergios Papadakis,"Latane Montague,Allan Johnson",,2,2,3,1,"7,75",2
USA,7772,Barney Harris,"Jesse Falsone,Rene de la Rie",,3,3,1,3,"9,75",3
USA,8191,Macy Nelson,"Nick ""Ace"" Nelson",,DNS,DNS,DNS,DNS,16,4
