Nation,Boat,Driver,Crew,Name,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Points,Place
USA,6227,Bart Hakworth,Keith Stahnke,Bat out of Hell,7,6,10,1,5,7,25.75,5
USA,6932,Ashley Tobin,Jim Walters,Buck Dancer,9,12,DNS,10,7,8,46,10T
USA,7096,Bryan Largay,Matt Sanders,Punishment Pony,8,5,6,DNS,DNS,DNS,45,9
USA,7153,Bill Jager,Mike Jankowski,??? Vegetables,10,8,5,9,9,6,37,8
USA,7802,Craig Collins,Ken Richards,T.O.O.B.,11,11,DNS,7,8,9,46,12
USA,73*,Jim Wondolleck,Jay Kuncl,'65 Chevy,4,7,3,4,2,4,17,4
USA,7359,Gary Ruggles,Moondog,Fully Loaded,12,9,7,8,10,DNS,46,10T 
USA,7771,Pete Melvin,Mike Martin,,2,4,4,6,3,1,13.75,3
USA,7875,Jeff Miller,Bruce Heckman,A Boat,5,2,2,2,6,2,13,2
USA,8084,Bruce Edwards,Jonathan Livingstone,Mystery Spot,1,1,1,DNS,DNS,DNS,29.25,7
USA,8266,Howard Hamlin,Rick Rattray,Don's Boat,3,3,9,3,1,3,12.75,1
USA,8554,Thad,Steve Bartz,,6,10,8,5,4,5,28,6
