Nation,Sail,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Pts,Plc
USA,7875,Jeff Miller,Bruce Heckman,,1,1,2,2,1,1,7,1
USA,7771,Howard Hamlin,Mike Martin,,4,2,1,1,2,2,"11,5",2
USA,8265,Patrick Andreasen,Mead Hopkins,,3,3,5,3,3,3,20,3
USA,7349,Jim Wondolleck,,,2,4,3,4,4,DNF 14,31,4
USA,7611,Craig Perez,,,5,DNF 14,4,6,5,4,38,5
USA,8554,Steven Bartz,,,6,5,6,5,10,6,38,6
USA,7200,Paul Tara,,,7,7,7,7,8,DNF 14,50,8
USA,7300,Craig Collins,Tom Ducharme,,8,8,9,8,DNF 14,DNF 14,61,9
USA,808,David Chatham,,,10,9,11,DNS 14,11,DNF 14,69,10
USA,8084,Paul Allen,,,DNF 14,DNF 14,DNS 14,9,7,DNF 14,72,11
USA,7874,Ted Nordquist,,,DNS 14,10,10,12,12,DNF,72,12
USA,6666,,,,14,14,14,11,9,DNF,76,13
USA,5691,Renoir,Kortman,,DNS 14,DNS 14,DNS 14,DNS 14,DNS 14,DNS 14,84,14
