Nation,Boat No,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,,place
USA,7771,Howard Hamlin,Mike Martin,,1,1,DNF,1,2,2,,1
USA,8017,Thomas Poore,Stuart Park,,4,3,1,2,1,5,,2
USA,0,Jim Maloney,Rob Waterman,,8,6,5,3,3,1,,3
USA,0,Daniel Thompson,Uli Coblenz,,2,4,3,6,4,DNF,,4
USA,8265,Patrick Andreasen,Mead Hopkins,,5,5,6,4,5,4,,5
USA,0,Thad Lieb,Steven Bartz,,6,DNF,7,5,6,3,,6
USA,7359,Gary Ruggles,Greg Gump,,9,7,2,DNF,DNF,DNF,,7
USA,7611,Steve Smith,Craig Perez,,7,8,4,DNF,DNF,DNF,,8
USA,0,Bruce Edwards,David Shelton,,3,DNF,DNF,DNF,DNF,DNF,,9
USA,0,Steve Andrews,Dave Robinson,,10,DNF,DNF,DNF,DNF,DNF,,10
