,Segelnummer,Seglare 1,Seglare 2,Klubb,R1,R2,R3,R4,Total,Nett,Rank
SWE,8666,Magnus Nilsson,Daniel Birgemark,Träslövsläge BS,1,-2,2,1,6,4,1st
SWE,7937,Carl-Fredrik Fock,Johan Barne,GKSS,(12 OCS),1,1,6,20,8,2nd
SWE,8873,Malin Vångfors,Daniel Lundahl,BKSS,-6,4,3,3,16,10,3rd
SWE,8945,Tord Lawner,Johan Calvert,Bkss,4,-8,5,2,19,11,4th
SWE,8917,Jesper Fowelin,Erik Wallmark,ÖLSS,2,5,4,-8,19,11,5th
SWE,9038,Johan Bredin,Tore Reinhold,BKSS,3,3,-8,7,21,13,6th
SWE,8412,Olof Bengtsson,Robin Eliasson,Varbergs Segelsällskap,-7,6,6,4,23,16,7th
SWE,8632,Mats Lindgren,Felix Stööp Lindgren,BKSS,5,-7,7,5,24,17,8th
SWE,8835,Joakim Stadig,David Christoffersson,Borås Segelskap,8,9,-10,9,36,26,9th
SWE,8393,Filip Eliasson,Stefan Eliasson,ssve,(12 DNC),10,9,12 DNC,43,31,10th
SWE,9014,Alain Dupuis,Gustav Von Sydow,Bkss,(12 OCS),12 DNC,12 DNC,12 DNC,48,36,11th
