Nation,SailNo,HelmName,CrewName,Club,Race 1,Race 2,Total,Nett,Rank
SWE,9002,Per Wester,Lars Wester,BKSS,1,1,2,2,1st
SWE,8412,Filip Eliasson,Olof Bengtsson,BKSS,3,2,5,5,2nd
SWE,9117,Fredrik Molander,Thomas Jaxing,BKSS,2,7 DNF,9,9,3rd
SWE,8632,Mats Lindgren,Felic Stööp Lindgren,BKSS,7 DNF,7 DNF,14,14,4th
SWE,8962,Peter Bökmark,Martin Persson,BKSS,7 DNF,7 DNF,14,14,4th
SWE,8945,Tord Lawner,Johan Calvert,BKSS,7 DNF,7 DNF,14,14,4th
