Numer,Załoga,Klub,Miejsca,Punkty,,,,,,,#
POL 9119,Bartosz Makała,Łukasz Skrzycki,YK Stal Gdynia,1,*2,2,1,1,2,7,1
FIN 8736,Jarosław Grabowski,Michał Olko,YK Stal Gdynia,*4,1,3,2,2,1,9,2
POL 8416,Przemek Zagórski,Piotr Juckiewicz,YK Stal Gdynia,2,3,1,*5,4,5,15,3
POL 8208,Piotr Rzepecki,Franciszek Badowski,YKP Warszawa,5,5,6,6,5,*9,27,4
POL 7942,Mieczysław Szwed,Piotr Kosobucki,CŻ Szczecin,6,4,10,*12,7,3,30,5
POL 8217,Wojciech Denderski,Jakub Kręciwilk,,3,*12,9,4,8,6,30,6
POL 8802,Mateusz Jura,Bartosz Chroł,AZS SGH Warszawa,9,7,4,3,*10,7,30,7
POL 9120,Jakub Pawluk,Michał Redmerski,Rainmaker Yacht Klub,*DNC,9,8,8,3,4,32,8
POL 8665,Marcin Panek,Przemysław Rzepecki,,7,8,5,7,*9,8,35,9
POL 8358,Karol Milewski,Bartosz Milewski,Marketing Wizards,8,6,7,10,6,*OCS,37,10
POL 8422,Adam Domżalski,Joanna Jakubowska,,12,10,12,*DNF,13,10,57,11
POL 8751,Krzysztof Osiak,Mateusz Wujec,,*14,11,11,11,11,13,57,12
POL 5350,Łukasz Paszko,Andrzej Borowiak,ZKŻ Zbąszyń,11,*DNF,13,9,14,11,58,13
POL 8483,Mariusz Michalski,Piotr Duma,YKP Stal Gdynia,10,*DNF,DNF,DNF,12,12,66,14
GER 8674,Andrzej Kubiak,Marek Milewski,,13,13,*DNF,DNF,15,14,71,15
