Sail Number,Team,,Club,R1,R2,R3,R4,T,N,Nr
FIN 9069,Jari Hamström,Tuomas Laurila,KuoPS,2,1,1,1,5,5,1
FIN 8927,Kaj Lindfros,Johan Halonen,ASS,1,2,2,3,8,8,2
FIN 8053,Petri Ebeling,Juhani Heimsch,HSK,4,4,5,2,15,15,3
FIN 8678,Tatu Miettinen,Ville Tarvo,LPS,3,5,3,5,16,16,4
FIN 8466,Hannu Pöyry,Ari Dillemuth,VVK,8 DNS,3,6,4,21,21,5
FIN 7784,Thomas Held,Juha Nurmela,BSS,8 DNS,6,4,6,24,24,6
FIN 8127,Mikko Laine,Kalle Aaltonen,TPS,8 DNS,8 DNS,8 DNS,7,31,31,7
