,Boot,Steuermann,Vorschoter,Club,Platzierungen 1,Platzierungen 2,Platzierungen 3,Platzierungen 4,Punkte,Pl.
GBR,8834,Ian Pinnell,Steven Hunt,GWSC,3,2,1,1,,1
GBR,8787,Terry Scutcher,Christian Diebitsch,Shotley,4,1,3,2,,2
GBR,8568,Charles Walters,Dougal Cram,GWSC,2,3,2,9,,3
FRA,8716,Christian Silvestre,Hendrik Schultz,CVB,1,5,5,3,,4
FRA,8545,Serge Gubri,Thibault Di Pede,JMIAM,5,7,6,5,,5
FRA,8541,Francis Doerenbecher,Aubin Doerenbecher,CNS,6,16,4,7,,6
FRA,7941,Veronique Dousselin,Jean-Pierre Peter,ACAL,7,10,8,4,,7
FRA,8484,Philippe Blanchard,Bernard Edel,ACAL,10,4,9,8,,8
FRA,8771,Gilbert Vinches,Fabrice Toupet,CVSQ,12,6,14,12,,9
GER,8473,Oliver Kraft,Andreas Goggel,SSCM,9,11,22,10,,10
FRA,8676,Marcel Buffet,Franck Piriou,CVP,13,23,7,15,,11
GBR,8835,Francis Cram,Simon Lake,HISC,8,17,13,14,,12
FRA,8742,Philippe Noclain,Jean-Pierre Noclain,CVA,16,8,12,17,,13
FRA,8509,Pierre Muh,Dominique Keraudren,CNVC,17,14,20,6,,14
FRA,8456,Benjamin Di Pede,Geraud Lafortune,,21,9,17,13,,15
FRA,8748,Muriel Jeanne,Gilles Carvallo,CNHS,14,13,15,16,,16
FRA,8705,Jean-Baptiste Dupont,Christian Vallaud,AS,18,18,10,18,,17
GER,8530,Alexander von Mertens,Frank Heimburger,StSC,11,12,25,24,,18
FRA,7709,Pascal Aublet,Celine Aublet,CNDP,19,15,18,19,,19
FRA,8294,Philippe Barbier,Guillaume Barbier,,23,22,11,20,,20
FRA,8462,Gilles Lasnier,Adrien Lasnier,,20,24,23,11,,21
FRA,8704,Christian Marteneau,Marie Lafortune,CVSP,15,19,21,DNC,,22
FRA,8733,Michel Boiry,Charles Frigaux,CVP,24,20,16,22,,23
GBR,8678,Jim Berry,David Barnes,CVSC,25,21,19,21,,24
FRA,8436,Samuel Carvallo,Frank Agrapart,CNHS,22,DNC,24,25,,25
FRA,7913,Roger Chabaud,Mark Abbotts,,26,25,DNF,26,,26
FRA,845*,Nicolas Martin,Nicolas Duhay,,DNC,DNC,DSQ,23,,27
