#,Sternik,Załogant,Klub,Race 1,Race 2,Race 3,Race 4,Rece 5,Race 6,Race 7,Race 8,Suma,#
POL 9119,Mateusz Jura,Bartosz Chroł,AZS SGH Warszawa,2,6*,1,1,3,4*,1,4,12,1
POL 9170,Karol Milewski,Bartosz Milewski,YK Stal Gdynia,3,3,4*,2,1,2,4*,1,12,2
POL 9132,Przemek Zagórski,Michał Olko,YK Stal Gdynia,1,5*,2,3,2,5*,2,5,15,3
POL 8909,Jan Domański,Konrad Małachowski,KPMG Salllng Team,DSQ*,2,3,DSQ*,4,1,3,2,15,4
POL 866S,Marcin Panek,Patryk Płotka,YK Stal Gdynia,8,10*,6,4,5,6,9*,6,35,5
POL 8736,Adam Kuczyński,Andrzej Borowiak,ZMKS Poznan,6,RET*,10*,8,8,3,8,8,41,6
POI 8483,Mariusz Michalski,Piotr Duma,YK Stal Gdynia,7,8,13*,5,6,10,7,OCS*,43,7
POL 8802,Dominik Ostrowski,Jan Siekierzyński,SWOS Warszawa,4,1,5,RET*,DNC*,DNC,OCS,3,45,8
POL 8217,Jakub Kręciwilk,Łukasz Grabia,,9,12*,7,6,12*,11,5,9,47,9
POL 8493,Mieczysław Szwed,Zbigniew Doch,CZ Szczecin,10*,9,9,9,7,9,11*,7,50,10
POL 8057,Piotr Rzezak,Aleksandra Mruk,JKKP,12*,7,12*,7,10,8,10,11,53,11
POL 8129,Jakub Kusiorski,Robert Korybut-Daszkiewicz,,11*,11,11,12*,9,7,6,10,54,12
POL 8437,Ewa Szyfter,Kacper Kaczmarek,AZS Poznan,5,4,8,10,DNC*,DNC*,DNC,DNC,59,13
POL 7942,Aleksandra Kachlicka,Michał Prończuk,AZS Poznan,13*,13,14*,11,11,12,12,12,71,14
GER 7237,Robert Zatorski,Kazimierz Pelasik,JKKP,14,14,RET*,DNC*,DNC,DNC,13,13,86,15
