Nation,SailNo,HelmName,CrewName,Club,R1,R2,R3,R4,R5,R6,R7,R8,Total,Nett,Rank
FIN,8927,Kaj Lindfors,Johan Halonen,ASS,2,1,2,2,2,1,2,(4.0),16,12,1st
FIN,8768,Jukka Nieminen,Antti Salonen,SP/HYP,3,(4.0),1,1,3,3,1,3,19,15,2nd
FIN,9069,RoseMarie Hartman,Tuomas Laurila,Merenkävijät,(4.0),2,3,3,1,2,3,2,20,16,3rd
FIN,8127,Raimo Raita,Juha Nurmela,V-71,1,3,4,4,(6.0),4,4,1,27,21,4th
FIN,8352,Kari Lehtonen,Timo Vennonen,HSK,5,5,(6.0),6,4,5,6,6,43,37,5th
FIN,8466,Hannu Pöyry,Tuomas Ebeling,VVK,(6.0),6,5,5,5,6,5,5,43,37,6th
