Nation,Sejlnummer,Hold,Klub,T,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Total,Netto,Place
DEN,9181,Jørgen Bojsen-Møller,Jens Bojsen-Møller,Hellerup Sejlklub,1,1,1,1,(2.0),2,1,9,7,1
GER,9230,Wolfgang Hunger,Holger Jess,PYC,(4.0),3,4,3,1,1,2,18,14,2
GER,9135,Jens Biederer,Jan Reifferscheidt,HSC,(7.0),2,7,4,3,5,3,31,24,3
GER,9169,Tim Böger,Markus Schöner,HSC,5,4,2,(11.0),6,6,8,42,31,4
DEN,9055,Fabiola Wonterghem,Michael Wonterghem,Holbæk Sejlklub,2,6,6,7,7,(8.0),5,41,33,5
GER,9070,Stefan Köchlin,Andreas Achterberg,SVS,(10.0),5,3,2,8,10,9,47,37,6
DEN,9128,Poul Aunsholm,Henrik Buhl,Hellerup Sejlklub,8,(12.0),8,8,10,3,4,53,41,7
GER,8849,Henrik Schade,Sebastian Wiemer,WVW,(13.0),7,5,10,11,9,6,61,48,8
DEN,8232,Jonas Christiansen,Brian Sørensen,Hellerup Sejlklub,11,10,10,9,5,4,(12.0),61,49,9
SWE,8923,Lars Hultgren,Axel Hultgren,RJK,3,8,11,5,4,(19.0)DNC,19.0DNC,69,50,10
SWE,9222,Tomas Franzén,Gustav Franzén,Råå Jolleklubb,6,(19.0)DNC,19.0DNC,6,9,7,10,76,57,11
DEN,8440,Mads Christiansen,Jakob Karboe,Aalborg Sejlklub,9,9,9,(13.0),12,11,7,70,57,12
DEN,8827,Klaus Søndergaard,Torben Pihl,Holbæk Sejlklub,12,13,12,12,(14.0),12,11,86,72,13
DEN,8828,Mike Rasmussen,Anders Damsgaard,Sejlklubben Neptun Vejle,14,14,13,(15.0),15,14,13,98,83,14
DEN,8677,Rasmus Andersen,Lars Henrik Andersen,Aalborg Sejlklub,(15.0),15,15,14,13,13,14,99,84,15
SWE,8900,Mats Bylander,Jonas Palmkvist,Malmö Segelsällskap,(17.0),11,14,16,16,15,15,104,87,16
DEN,9109,Hans Genefke,Søren Hjorth,HS,16,(19.0)DNC,19.0DNC,17,17,16,16,120,101,17
DEN,9118,Nikolaj Hoffmann Buhl,Christian Limbrecht Mogensen,Hellerup Sejlklub,18,(19.0)DNC,19.0DNC,19.0DNC,19.0DNC,19.0DNC,19.0DNC,132,113,18
