Nat,SailNo,HelmName,CrewName,Club,R1,R2,R3,R4,R5,R6,R7,R8,Total,Boat,Nett,Rank
USA,8823,Mats Elfs,Langdon Junge,CYC,(9.0 DNC),5,5,1,1,1,1,1,24,,15,1st
CAN,8192,Philip Cragg,Reto Corfu,KYC/RVYC,1,2,1,(5.0),2,4,3,2,20,,15,2nd
USA,8868,Piper Dunlap,Dan Ginther,PTNP,2,3,3,2,(7.0),3,4,4,28,dooflicker,21,3rd
USA,8631,Thomas Crawford,,CYC,5,1,4,4,4,2,(6.0),5,31,FB Incognito,25,4th
CAN,8866,Cynthia Des Brisay,Charles Hansen,KYC,3,4,(7.0),3,6,6,2,3,34,Non Sequitor,27,5th
USA,6991,Sugar Flanagan,Alyce Flanagan,PTSA,4,6,2,6,5,7,7,(8.0),45,Zaya,37,6th
USA,8755,Brian Trainor,Evan Jennings,KYC,7,(8.0),8,7,3,5,8,6,52,Banshee,44,7th
CAN,7353,John Hayley,Ian Plumbley,KYC,6,7,6,(8.0),8,8,5,7,55,Grumpy Old Men,47,8th
