Sailed: 5, Discards: 1, To count: 4, Entries: 13, Scoring system: Appendix A
1st	8821	Jeff Boyd,Martin ten Hove	KYC	1.0	(5.0)	1.0	4.0	3.0	14.0	9.0	Kingston
2nd	8735	Martin Hicks,Brent Beninger	NSC	(5.0)	3.0	4.0	2.0	1.0	15.0	10.0	Nepean
3rd	89	Marie Gendron,Nicolas Tosi	NSC	(6.0)	2.0	3.0	3.0	4.0	18.0	12.0	Saint-Zotique
4th	8930	Duane Delfosse,Soloman Marini	LSYC	2.0	6.0	(7.0)	5.0	2.0	22.0	15.0	Windham
5th	9028	Shona Moss Lovshin,Devlin Lovshin	NSC	4.0	(11.0)	8.0	1.0	6.0	30.0	19.0	Chelsea
6th	9005	Thomas Kivney,Max Crothers	HINGHAM YC	3.0	4.0	2.0	(14.0 DNC)	14.0 DNC	37.0	23.0	Hingham
7th	8987	Peter Scannell,John Dunlea	MONKSTOWN BAY S	8.0	1.0	5.0	(14.0 DNC)	14.0 DNC	42.0	28.0	Saratoga Springs
8th	8368	Paul Place,David Mincoff	NSC	7.0	(10.0)	9.0	6.0	7.0	39.0	29.0	Chelsea
9th	9138	Marek Balinski,Leszek Nowosielski	OHCC	(11.0)	9.0	11.0	9.0	5.0	45.0	34.0	Toronto
10th	9183	Michael Breton,Andrew Gesling	SAIL NEWPORT	(10.0)	7.0	10.0	8.0	9.0	44.0	34.0	CHARLESTOWN
11th	8610	Michael Wonnacott,Shona Weldon	NSC	9.0	12.0	6.0	(14.0 RET)	10.0	51.0	37.0	Chelsea
12th	7346	Deborah Ashby,Dave Adams	NSC	(14.0 DNC)	14.0 DNC	14.0 DNC	7.0	8.0	57.0	43.0	OTTAWA
13th	7605	Adam J Gesing,david stetson	 	12.0	8.0	12.0	(14.0 DNC)	14.0 DNC	60.0	46.0	KINGSTON
