Nation,SAIL No,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Total,Netto,Place
CAN,7346,Ashby,Adam ,,1,1,1,1,6*,1,1,2,14,6,1
CAN,8288,Robert Bartlewski,Terbrugge ,,2,2,3*,2,2,4*,2,1,18,11,2
CAN,9138,Marek Balinski,Duffy ,,6*,4*,2,4,1,2,4,5,26,16,3
USA,8850,Douglas Watson,Loushun ,,3,3,4,6*,6*,3,3,6,34,22,4
CAN,8264,Measor,Zakrajsek,,6*,6*,6,3,6,6,6,6,48,33,5
