Nation,Boat,Helm,Crew,Club,Race 1,Points,Place
USA,6292,Steve Taylor,David Penfield,,,,1
USA,0,Dennis Surtees,Paul Cayard,,,,2
USA,0,Dan Thompson,,,,,3
