USA,Boat NO,skipper,crew,,R1,R2,R3,R4,R5,R6,R7,Total,Place
USA,6477,Rainer Leuschke,Dave Stienmier,,"0,75","0,75","0,75","0,75","0,75","0,75","0,75","5,25",1
USA,1515,Rebecca Courter,John Linde,,2,2,2,3,3,2,2,16,2
USA,1615,"Alan ""one L"" Johnson",Billy Ernst,,3,4,3,2,2,4,3,21,3
USA,67??,Peter Serafin,Terence Spies,,4,3,4,4,4,3,4,26,4
USA,1911,Sue Athmann,Paul Von Grey,,5,5,5,5,5,5,5,35,5
