Nation,Boat NO,Skipper,Crew,Club,Race 1,Race 2,Race 3,Race 4,Pts.,Pos
CAN,0,Jeff Boyd,Martin tenHove,,7,1,1,1,3,1
USA,8263,Ali Meller,Curtis Hartmann/Dave Stewart,,1,2,2,3,5,2
USA,0,Macy Nelson,,,5,5,3,2,10,3
USA,8351,Tom Price,,,8,7,4,4,15,4
USA,6985,Mike Breton,Matt Breton,,4,6,6,6,16,5
USA,8438,John Wyles,Allan Freedman,,6,8,5,7,18,6
USA,6987,Lauren Abramson,Tom O'Toole,,2,3,DNS,DNS,19,7
USA,8645,Jim Englert,Thad Melton,,3,4,DNS,DNS,21,8
USA,7148,Peter Mignerey,,,DNS,10,7,5,22,9
USA,0,Monty Schumpert,Craig Schumpert,,9,11,DNS,DNS,34,10
USA,4936,Fred Liesagang,Dave Anderson,,10,12,DNS,DNS,36,11
USA,0,Bob O'Brien,,,DNS,9,DNS,DNS,37,12
USA,8643,Barney Harris,Jesse Falsone,,DNS,DNS,DNS,DNS,42,13
