Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Points Total,Points Netto,Place
USA,,Mike Holt,David Shelton,,,,,,2,,,,1
USA,8266,Howard Hamlin,Mike Martin,,,,,,3,,,,2
USA,7875,Jeff Miller,Bruce Heckman,,,,,,1,,,,3
USA,7611,Steve Smith,Craig Perez,,,,,,,,,,4
USA,7359,Gary Ruggles,Greg Gump,,,,,,,,,,5
USA,3246,Andy Weisner,Tom Cook,,,,,,,,,,
USA,,,,,,,,,,,,,
USA,,,,,,,,,,,,,
USA,,,,,,,,,,,,,
USA,,,,,,,,,,,,,
USA,,,,,,,,,,,,,
