Nation,Boat,Skipper,Crew,Club,1,2,3,4,5,Total with 1 Drop,Place
USA,8083,Fowler,Dyson,,2,1,DNF,1,1,5,1
USA,7318,Zani,Alarie,,1,3,1,2,3,7,2
USA,0,Trotman,Richards,,3,2,3,3,5,11,3
USA,8194,Kivney,Johnson,,4,4,2,4,4,14,4
USA,7879,Phillips,Schumpert,,5,5,5,7,6,21,5
USA,0,Rosenfeld,Moore,,6,7,4,5,9,22,6
USA,0,Charif,Baylis,,9,8,7,9,7,31,7
USA,8438,Wyles,Freedman,,7,10,6,10,10,33,8
USA,0,Collins,Scott,,10,6,9,8,11,35,9
USA,0,Barry Kuehl,Frank Thompson,,8,9,8,DNS,DNS,41,10
USA,0,Smith,Thompson,,11,13,11,13,8,43,11
USA,0,Yindra,McCarthy,,DNF,12,10,11,12,45,12
USA,7199,Papadakis,Broberg,,12,11,12,12,13,47,13
USA,6821,Pevear,Aase,,DNS,DNS,DNS,6,2,52,14
USA,0,Liesedang,Anderson,,DNS,DNS,DNS,14,DNS,62,15
