Nation,Sail#,Helmsman,Crew,Club,Race 1,Race 2,Race 3,TotPts,Pos
USA,8645,Jim Englert,Thad Melton,HYC,2,2,1,5,1
USA,8263,Ali Meller,Dave Stewart,WRSC,1,4,3,8,2
USA,8015,Macy Nelson,Monty Schumpert,WRSC,4,3,5,12,3
USA,6985,Dylan Breton,Mike Breton,,6,5,2,13,4
USA,6987,Lauren Abramson,Tom O'Toole,,14DNC,1,4,19,5
USA,7879,Jonathan Phillips,Les Crane,WRSC,3,6,10,19,6
USA,8643,Barney Harris,Jesse Falsone,WRSC,5,10,7,22,7
USA,8351,Tom Price,Chris Ryan,SSA,14DNC,9,6,,8
USA,8438,John Wyles,Allan Freedman,Sandy Hook,14DNC,7,8,29,9
USA,7776,Bob O'Brien,Betsy O'Brien,SSA,7,11,12DNF,30,10
USA,7148,Peter Mignerey,Josh Sharp,WRSC,14DNC,8,9,31,11
USA,8194,Steven Brown,Alex Turchi,WRSC,8,12,11,31,12
USA,4936,Fred Liesegang,Dave Anderson,Sandy Hook,9,13,13DNF,35,13
