Nation,SAIL,DRIVER,CREW,,Race 1,Race 2,Race 3,Race 4,Race 5,TOTAL,POS
USA,7771,Howard Hamlin,Mike Martin,,2,1,1,1,1,5,1
USA,7875,Jeff Miller,Bruce Heckman,,1,3,2,1,2,10.75,2
USA,6992,Dan Thompson,Uli Coblenz,,3,2,3,2,4,14,3
USA,7201,Steve Flam,Don Smith,,4,5,4,9,3,25,4
GER,8593,Johan Bäcksin,Mike Smith,,5,8,5,6,6,30,5
USA,8411,Nick Adamson,Bruce Tilly,,8,7,7,4,7,33,6
SUI,7153,Urs Rothacher,Lars Rothacher,,10,6,6,7,5,34,7
USA,8084,Thad Lieb,Rob Waterman,,6,4,10,5,10,35,8
USA,8265,Pat Andreasen,Mead Hopkins,,7,10,9,8,8,42,9
USA,8616,Bruce Edwards,Dave Shelton,,9,9,8,10,9,45,10
