Nation,Boat,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Points,Place
USA,7685,Graham Alexander,Mark Koenig,,1,3,1,1,1,1,6.75,1
USA,7684,Ki Kaiser,John Badtke,,2,1,2,2,2,2,10.75,2
USA,7061,Jason Breeden,Angela Thompson,,3,2,3,3,3,3,17,3
USA,4379,Barret Rhoads,Andrew Gassman,,4,4,4,4,4,4,24,4
USA,7356,Mike Goldstein,Andy Korsch,,5,6,5,5,7,5,33,5
USA,6660,Geoff Cashman,Chad Howard,,6,5,7,7,8,6,39,6
USA,4380,Phil Terman,Susan Badtke,,8,7,6,6,6,7,40,7
USA,5395,Marty Schilke,Kim Schilke,,7,8,8,8,5,8,44,8
USA,5816,Rick Blase,Richard Blase,,10 DNF,9,9,9,9,9,56,9
