Nation,Boat NO.,Skipper,Crew,,Race 1,Race 2,Race 3,Race 4,Race 5,Total,Place
USA,7685,Graham Alexander,Mark Koenig,,1,1,3,1,1,7,1
USA,8439,John Dohan,Dave Zetti,,2,2,1,2,4,11,2
CAN,7605,Renka Gesing,Adam Gesing,,3,4,2,6,2,17,3
USA,7684,Ki Kaiser,John Badtke,,5,3,4,3,3,18,4
USA,7790,Dave Stetson,Michael Agrell,,4,5,5,4,5,23,5
USA,7857,Jim Tuten,Mark Fleming,,7,6,6,5,7,31,6
USA,5091,Simon Addicott,Mitch Stonestreet/ Keith Spears,,6,8,8,8,8,38,7
USA,4379,Barret Rhodes,Andrew Gassman,,8,DNF,7,7,6,39,8
USA,4380,Phil Terman,Eric Gunderson,,9,7,9,9,10,44,9
USA,6660,Geoff Cashman,Clayton Bader,,11,9,11,10,9,50,10
USA,5759,Peter Goetz,Ruth Goetz,,10,10,10,11,11,52,11
