Nation,Boat NO,Helm,Crew,Cub,Race 1,Race 2,Race 3,Race 4,Poinst,Place
FRA,4511,Léon Brillouet,Marais,SRR,2,,2,14,"8,7",1
FRA,4611,Chéret,Dubray,SRR,1,,,,16,2
FRA,4224,Pierre Gadel,Georges Gadel,CNM,11,,1,,19,3
FRA,4904,Pierre Brétéché,Le Soudeer,SNO,,,,,23,4
FRA,4277,Le Troquer,Dobronski,Maroc,,,,,"24,7",5
FRA,4815,Clement,Philippe Blanchard,ACAL,,,,,"30,7",6
FRA,4632,Bernard Reynier,François-Bernard Savelli,CNB,3,,,,"31,4",7
FRA,4420,Didier Lange Berteaux,Casteix,CVT,,,,,"34,7",8
FRA,4390,Michel Grossain,Grossain,CNM,4,,,,"35,7",9
FRA,2793,Lévesque X.,Lesage,SNO,,,3,,37,10
FRA,4603,Jean Thobie,Patrick Ricci,CNBP,,,,1,38,11
FRA,4573,Fayein,Fayein,CVP,,,,,"41,7",12
FRA,4520,Debarre,Jongh,CNM,,,,,44,13
FRA,4399,Duhau,Chaillou,CVP,,,,,48,14
FRA,3103,Galvez,Galvez,ACAL,,,,,56,15
FRA,3720,Carlier,Tesson,CNBP,,,,,63,16
FRA,3392,Lefroid,Fasula,CNM,,,,,64,17
FRA,2777,Foucault,Foucault,CNHV,,,,,65,18
FRA,3663,Mimaut,Gery,ASDE,,,,,66,19
