Nation,Boat NO,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Points,Place
FRA,4667,Jérôme Langlois,Richard,,,,,,,"5,7",1
FRA,4453,Fenouil,Fernandez,,,,,,,16,2
FRA,4200,Le Poivre,Laout,,,,,,,"27,7",3
FRA,4850,Galleano,Bacci,,,,,,,"34,7",4
FRA,4800,Mesmin,Laribe,,,,,,,37,5
FRA,4152,Vizade,Rovere,,,,,,,61,6
FRA,3569,Bongiorno,Sachse,,,,,,,63,7
