Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Boat Name,Points Total,Points Netto,Place
FRA,4513,Claude Fixot,Charly Harfield,,,,,,,,,3,1
FRA,4910,Roland Jouandeau,Antier,,,,,,,,,3,1
FRA,4891,F. Souvestre,Paternault,,,,,,,,,"13,7",3
FRA,4707,Noël,Mme Noël,,,,,,,,,"14,7",4
FRA,3905,Desemery,Quibois,,,,,,,,,"20,7",5
FRA,3650,Paternault,Paternault,,,,,,,,,24,6
FRA,4228,Gilbert Vinches,François Padovani,,,,,,,,,25,7
FRA,4573,Fayein,Fayein,,,,,,,,,"27,7",8
FRA,3851,Amiot,Bisson,,,,,,,,,28,9
FRA,8,Guy Hédouin,Barrault,,,,,,,,,30,10
FRA,3896,Mayoux,Mayoux,,,,,,,,,31,11
FRA,4639,Marcel Buffet,Thierry Moreau-Defarges,,,,,,,,,33,12
