Country,Boat No,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Points,Place
FRA,4639,Marcel Buffet,Thierry Moreau-Defarges,,1,1,1,1,,0,1
FRA,4440,Léopold Leger,Robert Leibovitch,,,,,,,"26,7",2
FRA,4573,Fayein,Fayein,,,,,,,29,3
FRA,4666,Blanchard,Jacques Baptiste Lebrun,,,,,,,"38,7",4
FRA,4453,Fenouil,Angel,,,,,,,"41,7",5
FRA,3808,Fisher,Morandi,,,,,,,"43,7",6
FRA,4646,Dominique Savelli,François-Bernard Savelli,,,,,,,50,7
FRA,4199,Jacques Collaert,Yves Moreau-Defarges,,,,,,,"50,4",8
FRA,4228,Gilbert Vinches,François Padovani,,,,,,,"50,7",9
FRA,4748,Alain Preel,Patrick Conard,,,,,,,53,10
FRA,4399,Duhau,Chailou,,,,,,,58,11
FRA,4242,Falempin,Daudier de C.,,,,,,,"65,4",12
FRA,4404,Boyer,Riquier,,,,,,,68,13
FRA,4373,Hue,Augereau,,,,,,,77,14
FRA,3851,Jacques Amiot,Gilles Bisson,,,,,,,78,15
FRA,3423,Banel,Banel,,,,,,,82,16
FRA,4803,Guyot,Landry,,,,,,,"85,7",17
FRA,3596,Léopold Leger,Rouge,,,,,,,86,18
FRA,4028,Creton,Legrand,,,,,,,91,19
FRA,4356,Jacques Lefèvre,Ronot,,,,,,,93,20
FRA,3189,Jacques Raguet,Ulrike Raguet,,,,,,,93,21
FRA,4263,Godefroy,Godefroy,,,,,,,99,22
FRA,8,Guy Hédouin,Fougeres,,,,,,,116,23
FRA,4800,Mesmin,Marcq,,,,,,,117,24
FRA,4710,Coquin,Singeot,,,,,,,117,25
FRA,457,Jamin,Besse,,,,,,,124,26
FRA,2628,Blat,Toncquet,,,,,,,126,27
