Country,Boat #,Helm,Crew,Club,,Points,Place
FRA,4646,Dominique Savelli,François-Bernard Savelli,ANCRE,,"8,7",1
FRA,3650,Bernard Paternault,Denis Guiomard,CVD,,"23,7",2
FRA,4224,Pierre Gadel,Georges Gadel,CVP,,"23,7",3
FRA,4431,Christian Hauvette,Nicolas Vasseur,CNVC,,25,4
FRA,4199,Jacques Collaert,Yves Moreau-Defarges,CVP,,"39,7",5
FRA,4453,Fenouil,Angel,CNV,,48,6
FRA,3851,Jacques Amiot,Gilles Bisson,Draveil,,50,7
FRA,4440,Léopold Leger,Robert Leibovitch,CNVC,,52,8
FRA,3644,Souvestre,Souvestre,CVM,,54,9
FRA,4279,Alain Doloy,Lazennec,CVP,,56,10
FRA,4228,Gilbert Vinches,François Padovani,Draveil,,"56,7",11
FRA,4479,Le Glohaec,Baron,CVP,,58,12
FRA,2845,Herfort,Mandoff,CVESQ,,58,13
FRA,2810,Vaucanson,Levy,CVC,,"58,7",14
FRA,2799,Pillon,Pillon,CVC,,"59,7",15
FRA,4300,Thibault Di Pede,Pascal,Dassault,,61,16
FRA,4374,Leger,Danre,CNVC,,67,17
FRA,4666,Blanchard,Jacques Baptiste Lebrun,CVP,,69,18
FRA,4024,Noël Mme,Noël,SCBB,,71,19
FRA,4368,Richard Gaudry,Baguet,SNECMA,,73,20
FRA,4329,Roland Jouandeau,Vincentini,CNCV,,74,21
FRA,2971,Ohayon,Duval,CVD,,76,22
FRA,4036,Taillandier,Turquem,YCP,,77,23
FRA,3184,Robert Comte,Hubert Perrin,YCP,,78,24
FRA,8,Guy Hédouin,Wintgards,CNVC,,80,25
FRA,3080,Philadelphe,Gandois,CVD,,83,26
FRA,4307,Laly,Charly Hadfield,CNVC,,87,27
FRA,3527,Ponchelet,Ponchelet,CVP,,95,28
FRA,2349,Chauveau,Chauveau,Dassault,,107,29
FRA,3663,Anstedt,Courtois,Dassault,,110,30
FRA,4399,Duhau,Chailou,CVP,,114,31
FRA,3732,Massu,Halpern,YCIF,,114,32
FRA,3596,Pierre Beauvais,Rouge,CNE,,114,33
