Country,Boat No,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Points,Place
FRA,4809,Yves Pajot,Yvon Kergreis,CNBP,,,,,"8,7",1
FRA,4808,Nicholas Loday,Nicolas Fédorenko,CNBP,,,,,11,2
FRA,4571,Bruno Lévesque,Michel Guezou,SNO,,,,,18,3
FRA,4657,Nicolas,Aubard,CVT,,,,,"19,7",4
FRA,4702,Jean-Marie Daniélou,Jean-Charles Gillet,PUC,,,,,23,5
FRA,4700,Jean-François Fountaine,Pierre Fountaine,YCB,,,,,"24,7",6
FRA,4420,Didier Lange Berteaux,Poignant,CVT,,,,,32,7
FRA,3694,Pierre Bretèche,Le Soudeer,SNO,,,,,"41,7",8
FRA,4332,Drian,Robin,SNO,,,,,"42,7",9
FRA,4622,Chaplain,J. C. Bréard,SNO,,,,,43,10
FRA,2799,Pillon,Pillon,CVC,,,,,"46,7",11
FRA,4605,Jacques Chouraki,Alliot,SRCO,,,,,47,12
FRA,4603,Jean Thobie,Patrick Ricci,CNBP,,,,,52,13
FRA,4036,Taillandier,Blondet,YCP,,,,,57,14
FRA,4279,Alain Doloy,Lazennec,CVP,,,,,"58,7",15
FRA,4325,Oeuvrard,Durand,YCC,,,,,63,16
FRA,4501,Lallemand,Lallemand,YCIF,,,,,65,17
FRA,3535,Cassou,Lepelley,CVP,,,,,65,18
FRA,3184,Robert Comte,Hubert Perrin,YCP,,,,,66,19
FRA,4821,Mahe,Chaigne,CNBP,,,,,68,20
FRA,4009,Audren,Hetroy,SRCO,,,,,70,21
FRA,2810,Vaucanson,Brenier,CVC,,,,,71,22
FRA,3153,Galet,Galet,CVM,,,,,78,23
FRA,9,Jouanny,Courgeon,CNBR,,,,,85,24
FRA,3244,Marie,Loth,YCSB,,,,,90,25
FRA,4045,Tanguy,Tanguy,YCSL,,,,,94,26
FRA,1579,Samzun,Samzun,SNL,,,,,94,27
FRA,4238,Michaud,Beaugar,CNBP,,,,,102,28
