Country,Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Points,Place
FRA,4808,Nicholas Loday,Nicolas Fédorenko,CNBP,,,,,"20,4",1
FRA,4639,Marcel Buffet,Thierry Moreau-Defarges,CVP,,,,,"21,7",2
FRA,4720,Jean-François Fountaine,Pierre Fountaine,YCB,,,,,"23,7",3
FRA,4702,Jean-Marie Daniélou,Gilet,PUC,,,,,"29,7",4
FRA,4571,Bruno Lévesque,Michel Guezou,SNO,,,,,36,5
FRA,4646,Dominique Savelli,François-Bernard Savelli,ANCRE,,,,,"39,7",6
FRA,4809,Yves Pajot,Yvon Kergreis,CNBP,,,,,40,7
FRA,4420,Lange B.,Lange B.,CVT,,,,,49,8
FRA,3953,Jouanny,Courgeon,CNBR,,,,,"49,7",9
FRA,4440,Léopold Leger,Robert Leibovitch,CNB,,,,,"57,7",10
FRA,4447,Pasturaud,Laclau,CVB,,,,,"67,7",11
FRA,4654,Patrick Nicolas,Aubard,CVT,,,,,81,12
FRA,4279,Alain Doloy,Lazennec,CVP,,,,,84,13
FRA,4479,Le Gloahec,Grunbert,CVP,,,,,88,14
FRA,4478,F. Riche,B. Riche,,,,,,89,15
FRA,4325,Oeuvrard,,YCC,,,,,89,16
FRA,4453,Fenouil,Angel,CNVC,,,,,93,17
FRA,4803,Landry,Guyot,CEP,,,,,95,18
FRA,4605,Jacques Chouraki,Alliot,SRCO,,,,,110,19
FRA,4009,Audrand,Enquin,SRCO,,,,,112,20
FRA,4199,Jacques Collaert,Yves Moreau-Defarges,CVP,,,,,116,21
FRA,4573,Fayein,Fayein,CVP,,,,,120,22
FRA,4670,Bouet,Bruce Hobday,CNBP,,,,,122,23
FRA,2496,Francois Cuny,Eric Cuny,SNT,,,,,127,24
FRA,3709,Gérard Derché,Alain Derché,CNBP,,,,,132,25
FRA,3808,Fischer,Morandi,CVP,,,,,133,26
FRA,4603,Jean Thobie,Patrick Ricci,CNBP,,,,,136,27
FRA,4201,Ducos,Leclercq,-,,,,,139,28
FRA,3644,Souvestre,Souvestre,CVM,,,,,139,29
FRA,3535,Cassou,Mayeux,CVP,,,,,140,30
FRA,3694,Pierre Bretèche,Le Soudeer,SNO,,,,,140,31
FRA,4332,Drian,Robin,SNO,,,,,143,32
FRA,4228,Vinges,Padovani,-,,,,,143,33
FRA,4307,Laly,Hadfield,CVP,,,,,146,34
FRA,3498,Lepage,Lepage,SNO,,,,,147,35
FRA,4238,Beaugar,Michaud,CNBP,,,,,149,36
FRA,2799,Pillon,Pillon,CVC,,,,,151,37
FRA,4511,Léon Brillouet,Giroud,SRR,,,,,153,38
FRA,4501,Lallemand,Lallemand,YCIF,,,,,155,39
FRA,4622,Chapelain,Berthou,SNO,,,,,158,40
FRA,4664,Boudier,Boudier,YCIF,,,,,158,41
FRA,4329,Roland Jouandeau,Leger,CNVC,,,,,162,42
FRA,4800,Mesmin,Tand,SRR,,,,,175,43
FRA,4399,Duhau,Chailou,CVP,,,,,179,44
FRA,3505,Bastier,Bastier,CNT,,,,,181,45
FRA,4748,Alain Preel,Gonand,CVP,,,,,184,46
FRA,4390,Michel Grossain,J. C. Bréard,SNO,,,,,191,47
FRA,4373,Uhueau,Dren,SNH,,,,,197,48
FRA,3153,Galet,Galet,CVM,,,,,217,49
FRA,4692,Nivel,De Joux,-,,,,,218,50
FRA,3596,Beauvais,Rouge,YCD,,,,,239,51
FRA,460,Salou,Salou,SNHS,,,,,244,52
FRA,3771,Baillet,Baillet,YCIF,,,,,244,53
FRA,2439,Van den Broek,Van den Broek,SRSP,,,,,253,54
FRA,3806,Donaier,Planchon,SNO,,,,,260,55
FRA,4006,Guiheneuf,Coquille,SNQ,,,,,269,56
FRA,3999,Judic,Judic,CNBP,,,,,273,57
FRA,2628,Blat,Christophe,CVP,,,,,274,58
FRA,4703,Gilbert,Cordonier,YCC,,,,,274,59
FRA,3199,Hertel,Hertel,CVSP,,,,,274,60
FRA,3732,Jean-Pierre Bouvet,Bastard,CNBP,,,,,274,61
FRA,2793,Lévesque,Reliquet,SNO,,,,,274,62
FRA,2677,Degornet,Hegarat,SNO,,,,,274,63
