Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Boat Name,Points Total,Points Netto,Place
FRA,,Herfort,Mandoff,,,,,,,,,8,1
FRA,4228,Gilbert Vinches,François Padovani,,,,,,,,,"22,7",2
FRA,,Jacques Lefèvre,Michel Lefèvre,,,,,,,,,"22,7",3
FRA,,Boyer,Forestier,,,,,,,,,"25,5",4
FRA,4368,Richard Gaudry,Michel,,,,,,,,,28,5
FRA,3650,Bernard Paternault,Denis Guiomard,,,,,,,,,"34,7",6
FRA,,Taillandier,Blondet,,,,,,,,,"39,7",7
FRA,,Falempin,Beugnet,,,,,,,,,"39,7",8
FRA,,Raguel,Heripret,,,,,,,,,"42,7",9
FRA,4815,Philippe Blanchard,Jacques Baptiste Lebrun,,,,,,,,,47,10
FRA,4431,Christian Hauvette,Nicolas Vasseur,,,,,,,,,49,11
FRA,,Fenouil,Angel,,,,,,,,,52,12
FRA,4891,F. Souvestre,Palfer,,,,,,,,,54,13
FRA,,Amiot,Bisson,,,,,,,,,54,13
FRA,,Gre,Salou,,,,,,,,,56,15
FRA,,Carvallo,Leautey,,,,,,,,,65,16
