Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Boat Name,Points Total,Points Netto,Place
FRA,,Jacques Lefèvre,Michel Lefèvre,,,,,,,,,133,1
FRA,,Raguet,Heripret,,,,,,,,,132,2
FRA,4431,Christian Hauvette,Nicolas Vasseur,,,,,,,,,130,3
FRA,4228,Gilbert Vinches,François Padovani,,,,,,,,,128,4
FRA,,Bernard Paternault,Denis Guiomard,,,,,,,,,127,5
FRA,,Falempin,Beugnet,,,,,,,,,125,6
FRA,,Herfort,Mandoff,,,,,,,,,125,6
FRA,,Taillandier,Blondet,,,,,,,,,124,8
FRA,4368,Richard Gaudry,Baguet,,,,,,,,,119,9
FRA,4815,Philippe Blanchard,Lebrun,,,,,,,,,118,10
FRA,,Amiot,Bisson,,,,,,,,,115,11
FRA,4891,F. Souvestre,Fils,,,,,,,,,114,12
FRA,,Fenouil,Angel,,,,,,,,,114,13
FRA,,Doloy,Lazennec,,,,,,,,,95,14
FRA,,Jouandeau,Antier,,,,,,,,,90,15
