Country,Boat No,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Points,Place
FRA,3715,Philippe Blanchard,Carole Blanchard,ACAL,1,1,1,2,2,3,1
FRA,4341,Nesseler,Nesseler,CVE,,,,,,"8,7",2
FRA,3646,Wastiaux,Bauler,CYVM,,,,,,"24,4",3
FRA,2835,Francis Doerenbecher,Aubin Doerenbecher,CYV3F,,,,,,27,4
FRA,4342,Simon,Simon,CYVM,,,,,,"39,7",5
FRA,4167,Philippe Buck,Desbois,YCIF,,,,,,55,6
FRA,3637,Vitelli,Menard,ACAL,,,,,,"56,7",7
FRA,3899,Mehl,Gindre,CVC,,,,,,"56,7",8
FRA,4343,Baillet,Berger,CYVM,,,,,,"58,7",9
FRA,3331,Carvallo,Michel Laugerotte,CNHS,,,,,,"59,7",10
FRA,3103,Galvez,Galvez,ACAL,,,,,,60,11
FRA,4487,Grossmann,Clement,ACAL,,,,,,63,12
FRA,4620,Heymann,Jouclard,YCN,,,,,,65,13
FRA,2313,Noël,Noël,YCN,,,,,,68,14
FRA,3732,Massu,Halpern,YCIF,,,,,,"71,7",15
GER,4140,Schutz,Schutz,YCN,,,,,,87,16
FRA,2378,Grevis,Schmitt,CNR,,,,,,87,17
FRA,3228,Schweblen,Drouot,CYV3F,,,,,,90,18
FRA,2772,Mulder,Gorgeron,YCL,,,,,,96,19
FRA,3009,Carozzio,Ber,CVM,,,,,,101,20
