Country,Hull,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Points,Place
FRA,4701,Pierre Sadoc,Hamon,,1,1,,,,1
FRA,4654,Patrick Nicolas,Lemeillet,,,,1,1,,2
FRA,4224,Pierre Gadel,Georges Gadel,,,,,,,3
FRA,4703,Léon Brillouet,Dejoux,,,,,,,4
FRA,4915,François Fischer,Jacques Chouraki,,,,,,,5
FRA,4904,Pierre Bretèche,Le Soudeer,,,,,,,6
FRA,4332,Drian,Villaume,,,,,,,7
FRA,4646,Dominique Savelli,François-Bernard Savelli,,,,,,,8
FRA,4571,Bruno Lévesque,Michel Guezou,,,,,,,9
FRA,4639,Marcel Buffet,Thierry Moreau-Defarges,,,,,,,10
FRA,3694,Lévesque,Lallemand,,,,,,,11
FRA,4573,Fayein,Fayein,,,,,,,12
FRA,4622,Chaplain,J. C. Bréard,,,,,,,13
FRA,4900,Banel,Moreau D.,,,,,,,14
FRA,4667,Jérôme Langlois,Robert Leibovitch,,,,,,,15
FRA,3498,Lepage,Lepage,,,,,,,16
FRA,4206,Sauvatre,Fonteneau,,,,,,,17
FRA,3327,Vignault,Aubry,,,,,,,18
FRA,4390,Michel Grossain,Halgand,,,,,,,19
FRA,4399,Leger,Leger,,,,,,,20
