Nation,Boat NO,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Points,Place
FRA,4279,Alain Doloy,Lazennec,C.V.P.,1,1,1,1,,0,1
FRA,2845,Herfort,Mandoff,C.V.E.S.Q.,2,2,2,2,2,21,2
FRA,4803,Guyot,Jacoutet,C.V.P.,,,,,,"23,4",3
FRA,3851,Amiot,Bisson,Y.C.DRAVEIL,,,,,,"26,1",4
FRA,3650,Paternault,Guiomard,C.Y.V.D.,,,,,,"34,7",5
FRA,4900,Banel,Banel,C.V.P.,,,,,,38,6
FRA,4910,Roland Jouandeau,Antier,C.N.VIRY,,,,,,"57,7",7
FRA,4639,Marcel Buffet,Alain Lallemént,C.V.P.,,,,,,"59,7",8
FRA,4307,Laly,Groussard,C.N.VIRY,,,,,,60,9
FRA,4152,Vizade,Vizade,C.V.E.S.Q.,,,,,,"64,7",10
FRA,2439,Van Den Broek,Van Den Broek,C.V.E.S.Q.,,,,,,65,11
FRA,4404,Leger,Boyer,C.N.V.C.,,,,,,71,12
FRA,3620,Costa,Pachen,C.V.P.,,,,,,71,13
FRA,3593,Picard,Ardouin,C.V.E.S.Q.,,,,,,72,14
FRA,3915,Durand,Le Corvec,C.V.E.S.Q.,,,,,,72,15
FRA,4300,Pascal,Mimault,C.V.E.S.Q.,,,,,,75,16
FRA,4891,Souvestre,Paternault,C.V.MEAUX,,,,,,80,17
FRA,3716,Janin,Luthringer,C.V.P.,,,,,,89,18
FRA,3905,Desemerie,Bois,C.N.H.V.,,,,,,92,19
FRA,2656,Derville,Paternault,C.V.E.S.Q.,,,,,,94,20
FRA,2492,Privat,Louisnard,C.V.E.S.Q.,,,,,,96,21
FRA,2771,Souloumiac,Souloumiac,C.V.E.S.Q.,,,,,,97,22
FRA,4046,Domain,Julien,C.V.E.S.Q.,,,,,,103,23
FRA,3749,Mermet,Guiard,C.V.E.S.Q.,,,,,,103,24
FRA,2471,Lucaz,Champdavoine,C.V.E.S.Q.,,,,,,110,25
