Country,Boat No,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Points,Place
SUI,4281,Fehlmann,Fehlmann,CNM,1,,,,32.4,1
SUI,4617,Degaudenzi,Perret,SNG,,,,,34,2
SUI,4223,Urs Scherrer,Eiseld,YVZ,,1,,,36,3
FRA,4624,Francis Marque,Lanaverre,CVB,,,1,1,40,4
FRA,4341,Nesseler,Nesseler,CVE,,,,,42.4,5
FRA,4667,Jérôme Langlois,Richard,CNC,,,,,43.7,6
FRA,4632,Reynier,François Dury,CNB,,,,,44,7
FRA,4323,René Morch,Bernard Moret,CVL,,,,,54,8
FRA,4122,Serge Guillaume,Gravier,CVP,,,,,58.4,9
SUI,4636,Balmas,Balmas,CNM,,,,,67,10
FRA,4142,Lapalu,Grivelet,CN,,,,,72,11
FRA,4680,Callaman,Degre,YCPR,,,,,77,12
SUI,4093,Muller,Wismer,YCZ,,,,,79,13
SWE,3702,Eckeström,Calvert,HAB,,,,,81.7,14
FRA,3715,Philippe Blanchard,Carole Blanchard,ACAL,,,,,84,15
FRA,4459,Bernard Claudel,Alain Claudel,YCC,,,,,88,16
SUI,4562,Kissling,Kissling,V,,,,,97,17
DEN,4489,Madsen,Moerch,HS,,,,,98,18
FRA,4666,Blanchard,Lebrun,CVP,,,,,98,19
SUI,3558,Keller,Kessi,CNM,,,,,99,20
SUI,4285,Wickarth,Himmelbach,YCZ,,,,,103,21
FRA,4342,Simon,Simon,CYVM,,,,,108,22
FRA,3732,Massu,Faucheux,YCIF,,,,,114,23
FRA,2948,Gallinet,Gallinet,CVM,,,,,125,24
FRA,4512,Bailly,Vouillon,YCC,,,,,128,25
FRA,4343,Baillet,Berger,CYVM,,,,,130,26
FRA,3587,Paitre,Lasser,CNB,,,,,130,27
FRA,4004,Hietz,Wantz,CYVL,,,,,130,28
FRA,3331,Carvallo,Koludzki,CNHS,,,,,135,29
FRA,3439,Juaneda,Reynaud,CNPR,,,,,143,30
SUI,4348,Wieland,Lutz,SECZ,,,,,144,31
DEN,3741,Thielsen,Dorn,RKS,,,,,148,32
SUI,4561,Reichard,Reichard,CNM,,,,,149,33
SUI,4449,Reynond,Frey,CNVJ,,,,,157,34
