Country,Boat No,Helm,Crew,Club,Race 1,Points,Position
FRA,4511,Léon Brillouet,Marais,SRR,,"27,4",1
FRA,4571,Bruno Lévesque,Michel Guezou,SNO,,"68,4",2
SWE,4316,Göran Eckeström,Jan Calvert,HABK,,84,3
FRA,4914,Pierre Bretèche,Le Soudeer,SNO,,89,4
FIN,4626,Matti Rouhiainen,Heikki Mustonen,SPS,,91,5
SUI,4223,Urs Scherrer,Eisold,YCZ,,93,6
FRA,4122,Serge Guillaume,Gravier,CVP,,98,7
FRA,4700,Jean-François Fountaine,Pierre Fountaine,YCB,,"99,7",8
GER,4733,Uwe Bremenkamp,Hans Peter Petersen,SVW,,100,9
GER,4729,André Zander,Muth,EKSG,,101,10
FRA,4219,Doloy,Lazennec,CVP,,104,11
GER,4455,Heck,Hotzen,YCS,,110,12
FRA,4667,Jérôme Langlois,Richard,CNB,,110,13
FRA,4639,Marcel Buffet,Thierry Moreau-Defarges,CVP,,"115,7",14
GER,4333,Meyer,Peer,EKSG,,119,15
FRA,4632,Bernard Reynier,François Dury,CNB,,119,16
FRA,4323,Th. de Chalvron,René Morch,CVL,,122,17
FRA,4611,Voilerie Cheret,Drubay,SRR,,"130,7",18
FRA,4440,Léopold Leger,Robert Leibovitch,CNVC,,131,19
FRA,4815,Philippe Blanchard,Clement,ACAL,,131,20
FRA,4646,Dominique Savelli,François-Bernard Savelli,ANCRE,,134,21
FRA,4199,Jacques Collaert,Buck,CVP,,137,22
MAR,4217,François Le Trocquer,Wladimir Dombrowski,V,,142,23
FRA,4459,Bernard Claudel,Alain Claudel,YCC,,147,24
FIN,4835,Kari Wilén,Jyri Wilén,NJK,,148,25
FRA,4702,Jean-Marie Daniélou,Jacques Chouraki,SRR,,152,26
FRA,3438,Turquem,Frappier,CVM,,152,27
MAR,4451,Teply,Teply,YCR,,154,28
FRA,4430,Pajot,Auffrey,CNBP,,160,29
FRA,4826,Lapalu,Grivelet,CNCP,,161,30
FIN,4303,Nils Lagerström,Lars Lagerström,ESF,,163,31
FRA,4660,Mikko Brummer,Rudi Biaudet,M,,165,32
FRA,4325,Patrick Oeuvrard,Rouger,YCC,,169,33
