Country,Boat Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Points Netto,Place
FRA,4263,Godefroy,Cuvelier,Y.C.A.,4,1,1,10,1
FRA,2992,Chaffaux,Chaffaux,Y.C.A.,1,2,7,16,2
FRA,3189,Jacques Raguet,Ulrike Raguet,Y.C.A.,5,7,4,"26,7",3
FRA,4356,Jacques Lefèvre,Michel Lefèvre,C.N.T.,,5,3,"27,4",4
FRA,,Lallemand,Lallemand,Y.C.I.F.,3,4,6,"27,7",5
FRA,4060,Quehen,Roger Timal,Y.C.A.,5,6,5,"34,7",6
FRA,4427,Beugnet,Ducloy,Y.C.M.N.,2,8,,42,7
FRA,4242,Claude Falempin,Daudie,Y.C.E.,,,2,43,8
FRA,3850,Grecourt,Grecourt,C.N.T.,,3,,"49,7",9
FRA,4028,Creton,Legrand,-,,,,61,10
FRA,,Gassou,Gassou,Y.C.B.,,,,63,11
