Country,Sail Number,Helm,Crew,Club,Race 1,Race 2,Race 3,Race 4,Race 5,Race 6,Race 7,Race 8,Points,Position
FRA,4654,Patrick Nicolas,Lemeillet,,,,,,,,,,,1
FRA,4701,Sadoc,Hamon,,,,,,,,,,,2
FRA,4571,Bruno Lévesque,Michel Guezou,,,,,,,,,,,3
FRA,4904,Pierre Bretèche,Le Soudeer,,,,,,,,,,,4
FRA,4915,François Fischer,Jacques Chouraki,,,,,,,,,,,5
FRA,4639,Marcel Buffet,Thierry Moreau-Defarges,,,,,,,,,,,6
FRA,4622,Chaplain,J. C. Bréard,,,,,,,,,,,7
FRA,4332,Drian,Villaume,,,,,,,,,,,8
FRA,4573,Faye,Fayein,,,,,,,,,,,9
FRA,4224,P. Gadel,G. Gadel,,,,,,,,,,,10
FRA,4667,Jérôme Langlois,Robert Leibovitch,,,,,,,,,,,11
FRA,4703,Leon Brillouet,Dejoux,,,,,,,,,,,12
FRA,4399,Leger,Leger,,,,,,,,,,,13
FRA,4390,Michel Grossain,Halgand,,,,,,,,,,,14
FRA,4646,Dominique Savelli,François-Bernard Savelli,,,,,,,,,,,15
FRA,3694,Lévesque,Lallemand,,,,,,,,,,,16
FRA,3327,Vignault,Aubry,,,,,,,,,,,17
FRA,3498,Lepage,Lepage,,,,,,,,,,,18
FRA,4900,Banel,Moreau D.,,,,,,,,,,,19
FRA,4206,Sauvatre,Fonteneau,,,,,,,,,,,20
