Nation,Sail Number,Skipper,Crew,,1,2,3,4,Total,Place
USA,7790,Dave Steton,Gris Bettle,,0.75,0.75,2,0.75,4.25,1
USA,4068,Ki Kaiser,Mrs. Kaiser,,2,2,0.75,3,7.75,2
USA,7857,Jim Tuten,Geoff Cashman,,3,3,3,2,11,3
USA,4380,Phil Termin,Jarrod Termin,,4,4,4,4,16,4
